Feature,Frequency
BAALC,1
C18orf32,1
CYP21A2,1
FABP1,1
FITM1,1
FLNA,1
GAS7,1
GORASP2,1
GRIPAP1,1
IQGAP2,1
KCNQ5,1
KRT82,1
MS4A4E,1
NDUFB3,1
OR6T1,1
PIGS,1
PRR20B,1
RPA4,1
SLC30A5,1
TBC1D9B,1
ELK4,1
CCDC54,1
CLECL1,1
ZNF213,1
EAF1,1
FAM195B,1
FGD3,1
FGF23,1
FOXN3,1
GRHPR,1
GSTM5,1
HTATIP2,1
IL22,1
LRIG3,1
OGFOD1,1
POC1B,1
SDC4,1
SELRC1,1
SLTM,1
TFF1,1
TRPM7,1
MBD3L2,1
ITGB7,1
FXYD6,1
UVRAG,1
AAED1,1
ANO8,1
ARHGEF4,1
CD2BP2,1
CEP192,1
CHKB-CPT1B,1
CKS2,1
CNIH1,1
CRABP2,1
HIST1H3G,1
INADL,1
KHDRBS2,1
MRPL38,1
OR1J4,1
PDHA1,1
SI,1
SLC17A8,1
ZBTB7C,1
UBE2B,1
SMIM4,1
THNSL2,1
DDAH1,1
DEXI,1
HSPBP1,1
KRTAP22-1,1
MAP2K1,1
MAPK8IP3,1
MTTP,1
NEK2,1
NR2F6,1
OR10A5,1
PREPL,1
PSMD12,1
RNF220,1
SBP1,1
SSR2,1
ST7L,1
TAPT1,1
SLC34A1,1
STEAP1B,1
FHOD1,1
PAX9,1
PROK1,1
RBM18,1
TIA1,1
TULP4,1
VIM,1
WDR54,1
XPO7,1
ZBTB20,1
ZNF777,1
AP3S2,1
APBA2,1
B9D1,1
C14orf159,1
C14orf177,1
C15orf61,1
FFAR3,1
FGF3,1
PLAC8L1,1
MRPL2,1
TBL1XR1,1
MMP28,1
TMEM206,1
UBE2J2,1
UBQLN2,1
YARS2,1
ZNF280D,1
ZNF431,1
AC012123.1,1
AL645608.1,1
CPVL,1
DDX50,1
GPAA1,1
HPCAL1,1
HPS4,1
HTR3E,1
JOSD2,1
KHDRBS1,1
MAGEE1,1
KCNC4,1
ANKRD61,1
SH3YL1,1
SLC25A31,1
SRSF9,1
TIPRL,1
UGT2A2,1
VGF,1
VKORC1L1,1
WFDC8,1
AC010336.1,1
ACTC1,1
ANKRD35,1
AP001888.1,1
ASNA1,1
BCR,1
BLM,1
CST8,1
DDX60,1
EML2,1
EPRS,1
SLC37A1,1
RWDD4,1
REM1,1
RPAP3,1
THOC5,1
TRIM9,1
ACPP,1
ARSH,1
ATOH1,1
BST2,1
CEP152,1
CYP2U1,1
GPR128,1
HACL1,1
IFNW1,1
KHNYN,1
LHPP,1
LYRM2,1
MAP4K5,1
MSRB3,1
OR52E4,1
F11,1
FRS3,1
GLO1,1
IFNAR2,1
CSPP1,1
ELN,1
GPC5,1
GRIN2A,1
KIAA1324,1
MANF,1
NUF2,1
PDP1,1
QPRT,1
RAB6C,1
RCC1,1
RHPN1,1
RP11-664I21.6,1
SNX11,1
TAS2R30,1
TRIM39-RPP21,1
WFIKKN1,1
CLIC6,1
CAMP,1
BACE2,1
SLC35F1,1
ISOC1,1
OR12D2,1
PLEKHG5,1
POU2F2,1
PPFIBP2,1
PPP3CA,1
RP11-503N18.3,1
SOBP,1
ATHL1,1
SUGP2,1
SUMF1,1
ZNF282,1
ZNF425,1
ZNF487,1
AC021860.1,1
AL627171.1,1
TEX101,1
SPINK2,1
SH2D7,1
DNAJC8,1
POTEJ,1
ROMO1,1
SCN4A,1
SDHAF1,1
SFRP2,1
SLC30A9,1
TGM7,1
UBFD1,1
WDFY4,1
WDR88,1
ZNF680,1
ZSWIM5,1
B3GNT7,1
BORA,1
DAPL1,1
DCAF5,1
DDX4,1
PFKM,1
PCDHB3,1
PACS1,1
CBLN4,1
ST3GAL3,1
SYPL2,1
TNFRSF10A,1
TSHZ1,1
AC090673.2,1
AKNA,1
AL592284.1,1
CCL14,1
OR6V1,1
FAM24A,1
GLIS2,1
HLA-E,1
MCPH1,1
MRFAP1L1,1
NIPAL4,1
NXT2,1
DIS3,1
ENDOD1,1
SEC63,1
HEBP1,1
COL24A1,1
