,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
206,0.0,0.05,0.0,0.0,0.06,0.0,0.11,0.05,0.0,0.05,0.09,0.0
207,0.0,0.04,0.0,0.16,0.26,0.02,0.05,0.0,0.08,0.0,0.05,0.13
208,1.5,2.28,0.81,1.54,3.97,0.3,1.02,0.37,1.37,0.68,1.13,2.78
209,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,0.76,0.0,0.0,1.4,0.9,0.0,0.39,0.16,0.0,0.0,0.6,0.51
211,0.0,0.2,0.0,0.09,0.26,0.11,0.17,0.32,0.39,0.19,0.05,0.16
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.04,0.0,0.0,0.05,0.0,0.12,0.08,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.75,0.76,3.66,0.29,1.06,0.59,1.16,0.59,0.23,0.47,0.49,1.01
221,0.0,0.0,0.0,0.26,0.0,0.0,0.17,0.0,0.52,0.0,0.0,0.09
222,0.0,1.94,0.0,0.53,0.14,1.45,0.93,2.67,7.25,1.3,0.31,0.39
223,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,3.29,2.36,0.19,1.91,0.4,4.09,1.85,2.18,2.75,0.71,0.16,3.29
225,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.24,0.0,0.0,0.18,0.33
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
229,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.02
230,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.71,0.34,0.19
231,0.98,1.09,0.0,0.29,0.62,1.59,0.92,0.0,0.0,0.0,0.0,0.65
232,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2.21,5.12,6.52,4.94,9.08,6.11,6.65,2.26,8.56,16.25,8.69,3.14
236,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.0,0.0,0.0,0.0
238,0.0,0.03,0.08,0.07,0.0,0.0,0.0,0.01,0.04,0.0,0.01,0.01
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.02,0.0,0.04,0.0,0.0,0.04,0.01,0.12,0.0,0.01,0.0,0.01
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01
248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.07,0.03,0.07,0.0,0.0,0.07,0.0,0.02,0.0,0.0,0.0,0.0
251,0.07,0.0,0.0,0.16,0.05,0.0,0.01,0.01,0.0,0.02,0.0,0.12
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,0.0,0.03,0.0,0.0,0.24,0.01,0.07,0.08,0.0,0.01,0.01,0.06
257,0.12,0.12,0.0,0.24,0.07,0.0,0.06,0.14,0.23,0.16,0.18,0.08
258,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.04
259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.07
266,0.0,0.07,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.17,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
271,3.03,0.0,0.0,1.24,0.45,0.48,0.0,0.45,0.18,0.13,0.0,0.42
272,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
273,0.0,0.06,0.0,0.0,0.23,0.14,0.36,0.07,0.29,0.06,0.0,0.28
