,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
SLC6A15,3.13,51.69,0.05,0.15,0.08,0.01,0.05,0.0,0.1,0.07,0.01,0.0,8.59,14.07,0.02,0.02,0.06,11.54,0.04,0.1,22.35,0.12,8.11,5.19,4.31,0.12,0.43,1.26,24.87,0.1
SLC6A16,0.05,0.03,0.12,0.32,1.01,2.48,2.19,1.07,0.43,1.59,0.0,0.83,1.32,1.43,0.03,0.16,0.47,0.01,0.5,1.24,1.89,0.69,0.71,0.19,2.45,0.08,0.24,2.47,1.79,3.84
SLC6A17,4.4,0.02,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.07,0.01,0.0,0.01,0.99,0.58,0.09,0.0,0.45,7.87,0.57,2.0,1.02,7.15,0.05,0.23,0.02,5.69,0.04,0.08,0.47
SLC6A18,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
SLC6A19,0.04,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.2,0.01,0.0,0.03,0.01,0.0,0.0,0.05,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.02,0.0,0.03
SLC6A2,0.01,0.42,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.01,0.15,5.01,10.85,0.11,0.0,0.71,0.77,1.5,0.0,0.01,0.73,0.01,0.84
SLC6A20,0.03,0.15,0.01,0.0,0.04,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.07,0.01,0.07,0.15,0.07,0.04,1.81,1.22,0.05,0.1,0.1,0.05,0.01,0.05,0.71,0.11,0.02,0.14
SLC6A3,0.12,0.09,0.03,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.08,0.0,0.85,0.07,0.0,0.0,0.11,0.03,0.03,0.03,0.01,0.24,0.0,0.02,0.04
SLC6A4,0.07,0.06,0.07,0.16,2.39,0.06,0.02,0.04,0.02,0.02,0.11,0.01,0.02,0.21,0.04,0.02,0.04,1.06,0.02,0.01,0.06,0.49,0.02,0.03,0.03,0.2,0.02,0.08,1.42,0.15
SLC6A5,0.03,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0
SLC6A6,244.1,16.34,56.61,23.42,6.25,29.84,18.98,17.41,13.36,22.9,26.98,10.79,86.92,7.75,7.32,9.82,15.96,9.65,14.87,13.21,7.44,27.61,20.36,5.48,34.61,6.18,14.3,9.99,16.2,35.05
SLC6A7,0.0,0.18,0.01,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.06,0.52,0.1,0.0,0.06,0.0,0.02,0.02,0.0,0.0,0.08,0.01,0.0,0.0
SLC6A8,4.32,11.36,88.83,59.78,0.37,0.22,0.17,50.08,44.66,0.27,2.1,1.53,9.31,50.25,25.84,12.56,7.3,15.92,3.93,14.06,37.88,20.17,28.41,22.14,70.09,6.21,18.64,118.18,146.04,17.16
SLC6A9,2.48,29.54,12.47,13.74,2.19,1.73,3.35,21.98,0.63,1.9,0.22,0.48,18.52,26.61,11.11,11.52,16.65,10.86,11.19,104.02,49.24,5.98,23.09,6.22,20.02,4.93,4.05,34.32,81.09,13.29
SLC7A1,31.99,58.89,36.17,25.1,18.47,24.72,27.82,35.59,38.11,33.96,34.03,27.01,46.0,33.51,7.86,36.6,8.74,27.48,31.51,39.42,24.72,8.4,25.93,24.81,48.75,13.17,15.03,38.98,16.75,22.14
SLC7A10,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.02,0.06,0.01,0.0,0.1,0.0,0.03,0.0,0.74,0.46,0.0,0.11,0.25,0.03,0.26,0.58,0.04,0.0
SLC7A11,21.99,27.3,40.08,58.22,3.25,5.52,2.84,22.35,7.51,3.75,1.61,0.16,57.34,1.18,0.99,7.09,3.88,1.62,3.63,9.82,6.06,1.08,4.81,12.48,17.26,3.14,1.8,2.02,2.8,4.43
SLC7A13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.64,0.0,0.0,0.0,0.0
SLC7A14,8.26,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.12,0.01,0.06
SLC7A2,12.6,0.35,0.05,3.41,0.74,0.01,0.02,1.81,0.02,0.01,11.05,0.01,0.9,8.21,33.37,137.53,26.14,5.38,0.05,0.03,0.07,0.04,0.12,0.8,0.04,2.21,33.28,0.07,3.35,1.33
SLC7A3,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.01
SLC7A4,1.72,0.23,0.08,0.06,0.02,0.0,0.0,0.03,0.03,0.0,0.02,0.0,0.16,0.0,0.0,0.01,0.01,0.03,0.16,0.0,0.01,0.0,0.03,0.01,0.02,0.0,0.0,0.06,0.0,0.04
SLC7A5,376.24,299.52,313.6,77.15,32.53,103.44,95.23,286.53,144.09,89.18,214.97,58.95,470.63,64.26,39.98,655.5,37.31,159.96,234.04,218.74,269.11,64.83,208.42,139.83,195.67,53.59,152.41,133.83,116.36,297.43
SLC7A6,20.48,26.49,13.22,29.03,40.95,19.79,15.81,17.88,24.18,31.17,27.23,16.63,15.18,19.19,8.44,17.26,29.24,24.93,39.03,43.28,18.06,29.35,28.02,7.17,22.61,18.2,28.92,12.78,13.12,41.42
SLC7A6OS,14.11,23.59,11.28,17.77,17.31,18.66,14.99,13.38,21.59,19.87,18.67,15.23,13.7,14.18,3.69,12.33,18.36,6.76,24.18,16.75,14.53,14.25,12.75,7.5,22.06,9.9,18.85,7.96,9.0,17.45
SLC7A7,1.4,0.36,1.46,0.44,13.22,0.61,9.12,1.05,1.26,12.84,0.62,6.76,2.0,0.18,0.14,0.26,0.2,0.07,0.87,1.07,0.08,0.04,1.94,1.3,0.64,0.18,0.18,0.49,0.21,0.33
SLC7A8,22.52,3.13,10.83,1.73,0.16,0.28,0.1,1.45,0.2,0.15,0.28,0.07,4.23,0.05,5.33,2.26,6.3,18.35,0.85,3.34,0.91,38.78,0.94,27.21,3.47,52.84,139.26,3.38,0.21,1.4
SLC7A9,0.25,0.66,0.05,0.07,0.0,0.06,0.0,0.02,0.03,0.05,0.02,0.06,0.12,0.1,0.06,0.03,0.03,0.02,0.14,0.03,1.47,0.33,1.3,0.18,0.58,0.19,0.55,0.54,0.03,0.26
SLC8A1,0.93,1.1,2.54,0.34,0.87,0.04,1.13,2.56,0.02,0.01,0.05,3.14,1.11,0.01,0.0,0.71,2.0,0.1,2.05,0.02,1.9,0.01,0.03,1.69,4.92,0.01,1.16,0.19,0.02,0.88
SLC8A2,8.36,1.14,0.18,0.34,0.23,0.02,0.0,0.17,0.35,0.01,0.05,0.07,0.34,0.02,0.26,0.05,0.21,1.55,0.09,0.11,0.21,1.14,0.16,1.0,0.15,1.57,1.3,0.14,2.7,0.15
SLC8A3,0.01,0.01,0.01,0.0,0.29,0.0,0.01,0.0,5.65,0.0,0.0,0.01,0.01,0.0,0.02,0.04,0.0,0.04,0.01,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.01,0.04,0.0,0.01
SLC8B1,10.55,67.39,11.5,8.95,6.54,7.75,15.4,24.89,18.82,1.27,33.54,13.25,9.0,11.36,25.64,5.2,11.62,43.49,11.31,15.44,5.58,10.71,13.96,19.26,9.22,15.32,6.48,15.64,6.81,20.06
SLC9A1,10.78,50.91,26.2,22.2,8.15,42.63,5.37,31.21,23.5,12.0,6.07,5.1,18.26,18.46,14.04,26.95,7.4,20.99,19.62,33.54,4.7,15.26,16.58,9.26,17.26,39.82,8.43,15.32,14.78,23.15
SLC9A2,3.37,2.28,0.02,0.0,1.51,0.01,0.01,0.03,4.87,0.0,0.02,0.01,0.04,0.13,8.54,3.34,6.08,11.0,0.05,0.07,0.59,16.92,6.36,0.04,0.82,24.33,7.95,0.22,0.03,0.13
SLC9A3,0.03,0.64,0.22,0.12,0.4,0.45,0.13,0.67,3.24,0.18,0.56,0.04,0.5,0.13,0.17,0.36,0.15,0.02,1.03,0.04,0.1,0.14,0.15,0.13,0.13,0.06,0.1,18.15,0.29,0.41
SLC9A3R1,44.09,39.82,57.75,46.38,17.65,46.97,42.79,14.01,85.46,28.92,119.4,30.89,14.16,168.68,2009.9,673.02,707.01,279.01,192.51,183.21,29.39,632.88,78.7,40.39,101.37,444.44,1307.8,34.27,88.0,222.88
SLC9A3R2,69.11,41.71,57.3,58.53,0.23,0.22,0.1,78.67,5.26,0.2,12.93,0.47,6.86,61.67,131.62,44.56,83.22,216.2,72.4,57.77,23.13,110.27,33.79,18.61,38.93,180.79,111.14,24.85,23.99,34.83
SLC9A4,0.01,0.01,0.45,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.14,0.04,0.38,0.03,0.1,0.03,0.01,0.01,0.01,0.05,0.09,0.02,0.03,0.01,0.01
SLC9A5,4.36,3.08,1.55,3.23,10.27,0.33,0.49,3.53,1.73,4.32,0.3,0.28,4.58,3.29,1.28,0.66,6.01,1.9,2.04,1.66,0.77,5.98,1.3,2.1,1.09,1.66,5.17,0.93,1.88,2.12
SLC9A6,8.5,11.0,14.4,13.3,5.41,7.78,4.54,10.41,8.13,4.73,5.21,10.43,9.35,4.69,1.89,3.57,0.04,7.42,13.73,5.95,4.01,3.59,11.2,3.72,13.47,2.69,0.18,9.87,5.62,10.92
SLC9A7,3.56,24.75,8.44,19.61,24.9,5.61,16.94,17.8,2.18,15.61,0.14,25.36,4.19,0.02,12.64,17.09,31.32,12.66,20.07,9.59,2.02,17.77,28.86,2.13,20.31,15.71,44.26,16.5,0.12,31.27
SLC9A8,9.09,23.15,9.84,5.35,9.36,6.5,6.2,5.66,6.64,5.2,5.1,8.12,12.49,6.89,5.86,9.04,13.07,21.33,12.03,11.7,9.09,12.66,15.69,4.23,7.74,15.95,5.6,3.91,15.64,12.41
SLC9A9,1.6,0.58,4.27,3.26,2.45,0.5,4.96,2.82,3.67,0.08,0.01,0.84,3.44,0.34,0.0,0.1,0.17,0.1,0.45,5.04,0.51,0.77,2.2,0.44,2.38,0.04,0.18,0.71,1.34,0.89
SLC9B1,0.89,0.2,0.06,0.13,0.56,0.61,0.87,0.11,2.2,0.32,0.23,0.43,0.09,0.17,0.28,0.29,0.56,0.07,0.04,0.27,0.07,0.12,0.18,0.19,0.2,0.41,0.25,0.01,0.3,0.11
SLC9B1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC9B2,10.88,6.13,6.88,7.2,15.3,19.26,17.74,5.36,20.29,32.45,15.1,30.22,19.01,6.48,3.08,2.73,3.87,0.34,3.79,3.05,8.9,2.01,1.58,3.87,6.89,1.23,2.23,3.54,7.92,4.42
SLC9C1,0.05,0.09,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.14,0.01,0.0,0.02,0.0,0.02,0.01,0.02,0.0,0.02,0.13,0.29,0.01,0.02,0.0,0.1,0.0
SLC9C2,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.73,0.0,0.03,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0
SLCO1A2,13.85,1.6,0.0,0.06,0.11,0.0,0.06,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.01,0.0,1.12,0.11,0.0,0.0,0.32,0.18,0.02,0.03,0.06,0.01,0.92,0.1,0.01,0.02
SLCO1B1,0.42,0.5,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.1,0.04,0.0,0.0
SLCO1B3,0.46,26.12,0.14,7.99,0.01,0.03,0.01,17.11,0.02,0.02,0.02,0.01,0.04,0.0,0.05,0.0,0.04,0.03,1.49,0.72,0.01,0.01,0.07,5.51,0.03,0.01,0.1,0.05,0.0,0.08
SLCO1B7,0.0,1.24,0.0,0.36,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.73,0.0,0.08,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.02,0.06,0.0
SLCO1C1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SLCO2A1,0.01,6.33,0.8,3.97,0.23,0.01,0.0,13.02,0.05,0.0,0.33,0.02,2.01,0.25,0.2,0.16,0.12,0.36,0.23,1.63,0.05,0.1,2.57,0.06,5.44,0.01,0.03,9.02,0.15,3.48
SLCO2B1,48.5,0.46,1.65,2.55,3.44,0.05,0.16,0.0,0.17,0.01,0.01,0.01,0.53,0.02,0.0,0.05,0.04,0.06,0.05,0.0,0.01,0.02,0.07,0.06,0.01,0.0,0.13,6.18,0.03,0.05
SLCO3A1,91.53,60.63,25.57,7.98,0.42,12.49,15.66,18.47,0.77,14.45,4.09,0.99,12.33,5.89,5.79,11.07,5.97,3.05,32.14,30.87,11.78,0.37,49.85,10.64,14.06,0.15,2.61,8.05,5.02,2.44
SLCO4A1,6.62,60.29,5.37,11.87,7.44,7.82,22.65,4.22,37.6,31.75,61.28,3.75,4.43,37.65,6.81,18.26,0.29,12.96,49.3,23.18,15.76,0.99,17.96,10.05,5.49,2.29,13.55,0.19,24.7,12.55
SLCO4C1,0.76,0.01,0.0,0.0,1.28,0.0,0.04,0.0,3.02,0.0,0.33,0.03,0.01,0.06,0.0,0.15,1.16,0.01,0.0,0.07,0.73,0.03,0.62,0.94,0.73,0.0,0.48,0.22,0.13,0.02
SLCO5A1,0.62,0.04,0.4,0.69,7.13,0.01,4.63,0.03,0.02,0.01,0.65,0.03,0.07,0.0,0.01,0.01,0.01,0.01,0.0,0.0,1.19,0.01,0.0,0.04,0.24,0.0,0.03,2.94,0.07,0.07
SLCO6A1,0.63,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
SLFN11,0.13,19.25,34.07,58.46,7.91,0.08,13.33,20.74,46.07,4.56,61.61,38.16,0.08,0.37,0.05,0.08,0.05,24.84,0.25,0.18,18.78,21.6,7.75,12.22,39.27,0.02,0.03,6.55,0.39,1.57
SLFN12,0.01,5.35,21.02,15.65,10.0,0.08,0.0,16.69,5.11,0.01,9.1,0.72,0.15,1.35,0.03,0.05,0.01,3.4,7.04,0.14,0.28,8.03,1.02,3.97,24.87,0.02,0.01,0.16,0.13,0.27
SLFN12L,0.01,0.16,0.07,0.61,14.63,0.01,0.0,0.03,0.09,0.0,0.33,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.16,0.0,0.04,0.0,0.1,0.12,2.45,0.0,0.01,0.12,0.02,0.14
SLFN13,0.07,11.04,6.93,7.12,46.0,0.08,1.53,3.69,15.08,0.68,46.58,41.9,0.26,13.78,0.06,0.08,0.03,3.98,7.89,6.1,16.33,34.24,91.25,10.68,77.29,0.04,0.24,0.76,0.23,4.67
SLFN14,0.0,0.03,0.02,0.03,1.24,0.0,0.03,0.02,8.63,0.01,0.04,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.06,0.01,0.01,0.0,0.0,0.03,0.19,0.0,0.01,0.02,0.01,0.01
SLFN5,0.28,57.64,44.42,26.19,28.82,1.16,0.19,20.25,0.27,1.78,0.27,0.88,11.77,20.3,1.24,0.43,0.13,2.01,7.14,14.91,7.77,14.23,12.21,6.75,30.08,0.03,0.18,10.69,6.11,54.62
SLFNL1,0.5,1.73,0.38,0.47,0.46,1.01,0.49,0.47,1.39,0.94,1.27,1.69,1.49,4.55,0.28,0.15,1.47,0.58,0.72,1.92,2.4,0.6,2.19,0.42,1.99,0.58,2.19,1.47,1.29,0.49
SLIRP,123.41,155.84,243.3,241.47,140.45,277.97,378.14,366.83,129.11,498.32,323.88,223.48,278.32,151.77,271.63,384.79,272.31,534.54,383.09,213.99,399.58,342.25,258.02,69.0,220.04,214.32,219.37,177.69,184.08,294.57
SLIT1,0.05,0.0,0.0,0.02,1.99,0.15,0.07,0.0,0.24,0.1,0.21,2.55,0.0,0.08,0.1,0.1,0.0,0.02,0.0,0.0,0.02,0.1,0.07,0.05,0.0,0.13,0.05,0.07,0.0,0.05
SLIT2,0.32,1.72,1.98,13.71,0.06,0.03,0.01,3.71,0.03,0.01,0.07,0.0,0.69,0.25,0.55,0.15,0.6,0.12,3.57,0.08,0.43,0.0,8.39,0.22,1.24,3.14,0.09,1.25,0.19,0.15
SLIT3,0.02,0.09,11.63,1.51,0.11,0.07,0.03,0.15,0.02,0.0,0.02,0.01,19.09,0.05,1.46,0.01,0.01,0.02,0.35,0.06,2.31,0.05,0.82,0.11,0.11,2.18,0.11,30.1,0.0,0.05
SLITRK1,0.42,0.02,0.02,0.12,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.1,0.24,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,1.02,0.39,0.0,0.02
SLITRK2,0.06,0.0,0.07,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.26,0.02,0.01
SLITRK3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,2.21,0.01,0.0,0.0,0.07,0.04,0.07
SLITRK4,0.02,0.0,0.0,0.34,0.39,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.29,0.46,6.42,0.0,0.0,0.05,0.43,3.65,0.02,0.82,2.75,0.19,2.47,3.57,0.01,0.02
SLITRK5,2.31,0.02,0.56,0.17,2.73,17.49,11.72,0.18,4.12,0.0,0.01,0.01,0.2,1.72,0.31,0.0,0.22,0.31,0.23,0.02,1.75,1.56,0.64,1.0,0.74,0.47,0.02,0.44,0.03,0.24
SLITRK6,0.53,17.73,20.9,7.6,0.28,0.0,0.0,0.03,14.43,0.08,0.01,0.02,3.23,0.02,0.02,0.37,44.2,0.01,0.4,2.34,0.16,0.04,4.63,5.72,121.01,91.67,0.04,6.78,0.55,3.28
SLK,5.86,34.03,13.19,12.98,7.03,10.16,4.85,16.95,17.33,14.1,16.06,15.04,14.26,9.79,11.24,13.6,12.2,15.5,14.09,24.03,10.33,10.36,13.77,21.02,19.86,25.68,22.6,10.73,14.01,25.7
SLMAP,7.18,37.23,27.4,23.93,16.09,26.21,17.35,29.68,17.17,24.77,21.18,23.41,18.68,17.3,12.59,10.38,18.42,25.48,36.57,33.57,22.96,15.66,24.18,8.84,19.86,31.24,18.73,24.46,19.83,39.32
SLMO1,1.61,3.14,9.38,7.83,0.85,13.71,18.37,6.68,0.02,9.43,10.34,15.55,12.3,19.53,3.8,2.53,9.35,1.81,8.53,4.32,14.85,3.35,16.15,1.02,13.5,6.84,2.51,3.81,19.33,4.4
SLMO2,63.37,71.66,49.12,45.52,57.4,89.39,68.35,54.33,39.29,99.38,46.05,86.03,89.09,117.71,81.16,208.3,136.36,97.15,87.62,70.78,115.73,65.08,70.2,35.98,86.02,240.75,175.44,26.35,99.3,225.93
SLN,0.08,0.0,0.0,2.59,0.0,0.07,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.04,0.08,0.0,0.13,0.04,0.09,0.06
SLPI,1.39,1326.8,68.36,28.88,0.7,0.22,0.64,51.13,0.87,0.67,31.03,0.2,38.53,163.12,29.09,4.59,30.21,254.61,1611.1,1218.0,452.45,1.73,251.15,102.18,115.47,0.82,0.96,73.27,1677.9,172.5
SLTM,53.08,83.48,69.48,81.73,91.47,134.67,121.13,68.76,86.9,101.45,99.1,128.94,127.83,54.72,68.3,87.49,77.29,88.58,124.11,99.12,78.96,65.0,141.97,39.46,150.78,74.36,102.15,124.12,85.0,106.86
SLU7,27.46,37.75,42.47,62.99,34.6,60.56,40.32,39.09,34.61,52.39,41.15,52.15,64.5,37.65,47.89,57.56,48.62,41.64,79.19,29.44,40.81,59.13,51.48,26.96,29.61,36.12,37.49,34.3,45.75,38.48
SLURP1,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.57,1.09,0.37,4.18,0.38,0.4,1.95,0.26,0.07,1.59,13.58,0.05,0.06,0.13,0.0
SLX1A,46.9,43.99,16.42,36.79,38.93,29.69,24.69,12.94,79.33,28.98,46.12,10.96,14.9,17.72,37.45,36.98,41.05,80.35,54.18,16.72,30.5,15.63,40.11,23.21,13.28,48.54,42.66,17.16,31.34,5.91
SLX1B,13.05,42.65,9.05,19.97,3.17,12.56,12.82,12.38,31.57,27.5,30.38,27.59,19.29,13.96,33.71,17.7,10.17,140.26,58.49,24.59,3.09,13.6,24.87,20.7,17.13,10.1,36.0,46.44,23.81,28.5
SLX4,7.36,9.21,3.88,5.76,5.82,23.36,7.58,5.59,8.66,11.97,4.75,3.59,3.96,2.72,2.29,3.97,8.04,2.57,5.57,5.24,4.06,7.64,9.05,3.67,5.88,8.09,7.14,3.98,4.1,3.47
SLX4IP,3.21,2.33,1.8,1.49,1.54,3.07,0.59,0.2,5.39,2.47,2.34,3.49,2.51,1.43,1.16,3.12,1.33,2.8,4.56,2.59,0.73,3.01,9.13,0.72,2.32,2.07,0.97,4.63,2.85,5.04
SMAD1,7.07,10.23,11.64,7.28,11.78,0.0,17.66,20.83,7.2,0.04,0.02,25.47,15.65,14.06,20.13,5.27,15.15,20.48,15.17,25.89,16.49,7.22,9.57,6.64,31.29,26.54,13.65,46.15,14.95,14.28
SMAD2,32.25,13.49,47.46,42.19,46.24,100.86,59.13,65.79,45.03,38.93,50.46,35.73,75.35,44.48,27.91,24.36,76.02,47.86,14.87,80.24,62.91,31.34,83.82,12.11,261.03,30.43,52.9,115.84,59.24,62.23
SMAD3,18.07,195.4,28.57,50.75,14.59,3.19,16.95,40.95,18.41,19.32,13.99,17.34,125.86,4.23,7.36,13.96,10.37,7.72,31.85,58.89,18.81,3.81,122.25,20.57,68.07,4.62,8.27,5.82,13.91,24.72
SMAD4,29.28,10.27,38.82,19.4,16.81,39.53,23.31,40.17,30.27,10.8,24.38,49.68,67.36,18.11,4.66,7.09,47.38,2.11,7.37,33.03,41.63,16.35,42.7,8.0,28.98,8.89,16.44,81.01,37.5,28.38
SMAD5,14.27,17.05,23.53,22.44,7.12,10.56,16.23,26.78,16.24,20.92,10.59,14.86,14.17,13.5,12.92,9.81,18.85,9.66,15.26,9.42,11.58,10.79,23.43,8.61,23.3,9.2,15.81,21.44,17.05,25.6
SMAD6,0.09,1.13,19.87,16.83,0.05,0.08,0.49,9.08,6.58,0.31,1.28,7.02,12.91,23.55,3.54,1.86,5.33,5.21,10.76,10.31,20.63,1.72,72.21,8.27,93.05,4.62,2.22,11.94,29.96,6.39
SMAD7,12.76,1.79,16.43,12.46,10.72,0.54,7.54,17.74,0.16,0.82,2.31,13.3,75.87,2.63,6.6,4.8,19.52,4.43,1.76,14.08,4.22,4.81,23.13,3.04,47.6,4.67,9.32,135.37,28.58,3.98
SMAD9,1.93,0.38,1.39,2.15,0.06,6.56,0.34,1.45,0.14,0.09,0.28,8.7,1.14,0.16,0.04,0.14,0.1,0.1,0.21,0.12,0.61,0.28,0.95,2.16,3.82,0.09,0.14,5.79,2.11,0.51
SMAGP,1.97,10.15,8.17,23.05,1.55,1.75,3.28,20.63,20.82,0.83,4.62,1.24,7.3,34.27,19.5,10.83,21.01,28.78,32.58,27.88,34.99,29.31,16.9,7.73,58.52,25.67,22.83,26.35,23.27,38.03
SMAP1,19.98,7.21,22.69,12.6,11.83,12.11,28.41,15.12,10.27,9.61,12.58,13.63,12.44,12.58,11.07,15.67,8.85,16.5,15.5,8.76,11.12,16.29,21.97,5.22,25.05,21.38,12.39,13.49,5.05,16.15
SMAP2,19.5,5.97,32.39,34.58,99.44,40.84,101.93,24.41,55.45,46.53,31.97,27.42,28.9,14.5,12.43,17.01,36.84,15.85,9.15,26.06,7.53,10.62,8.83,4.74,18.46,24.3,44.49,13.55,15.81,17.55
SMARCA1,20.17,10.58,30.8,23.36,0.11,0.09,0.03,36.2,0.07,0.05,0.08,14.68,14.48,0.43,3.92,0.11,3.06,0.12,0.21,6.89,3.43,15.95,4.31,20.04,43.91,1.08,1.55,4.41,12.05,1.27
SMARCA2,12.43,23.26,45.63,44.89,56.3,18.8,46.09,16.22,70.43,19.59,37.29,31.18,87.91,96.89,26.8,28.51,21.04,0.23,38.84,141.37,13.39,19.71,1.73,9.21,46.12,49.75,16.55,60.73,65.19,123.13
SMARCA4,70.94,74.46,71.25,84.12,58.03,176.98,148.9,55.59,98.99,137.9,91.75,128.54,82.33,112.89,73.73,93.02,77.75,55.03,70.08,105.66,103.09,59.78,72.21,50.57,121.51,97.71,50.98,221.33,95.13,81.58
SMARCA5,15.06,16.1,22.66,25.34,32.15,57.57,35.9,31.7,30.26,36.83,22.51,70.01,28.35,19.25,14.36,23.32,17.09,23.72,43.67,20.84,24.37,13.81,20.05,13.4,47.24,27.93,23.18,29.04,36.15,19.18
SMARCAD1,7.89,9.64,12.1,15.46,11.09,30.31,16.43,14.23,22.36,14.93,11.96,30.57,24.46,10.59,7.89,7.63,12.44,11.52,10.37,9.23,9.19,8.69,9.72,5.6,21.79,10.27,10.27,11.78,10.67,17.08
SMARCAL1,6.51,7.79,13.69,10.56,8.96,15.41,8.61,18.05,18.88,13.54,17.52,15.17,10.52,11.41,3.43,6.92,11.92,5.35,7.02,12.74,5.61,9.52,12.4,7.42,15.95,10.21,9.43,8.54,12.13,12.0
SMARCB1,63.18,68.45,102.27,91.89,50.69,322.54,175.1,116.77,114.84,270.33,104.71,160.18,188.6,75.82,55.46,78.08,101.42,67.44,86.83,86.05,111.75,51.99,121.46,40.78,221.83,73.49,43.91,73.34,122.82,109.77
SMARCC1,14.2,24.32,36.51,24.37,34.5,71.62,52.03,36.25,66.66,45.39,46.17,96.53,48.94,51.33,19.55,17.07,20.42,33.59,36.02,37.3,39.33,26.4,31.37,9.06,43.43,28.03,22.86,64.81,26.31,55.96
