,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
OXSR1,8.04,21.53,46.05,29.52,22.38,27.1,20.65,41.61,33.11,27.18,20.8,29.03,35.74,15.6,7.29,18.6,12.86,56.61,23.81,21.69,31.9,23.15,23.39,15.55,41.48,16.88,15.75,18.4,21.97,28.97
OXT,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.36,0.0,0.0,0.0,0.0,0.0
OXTR,0.13,6.35,7.7,0.9,3.31,0.84,0.36,7.7,0.27,0.03,0.89,1.0,1.07,0.56,0.14,0.96,1.93,1.01,56.73,0.05,0.89,0.36,10.29,0.57,1.43,0.78,0.39,0.51,0.39,0.75
P2RX1,0.1,0.02,0.02,0.04,0.25,0.0,0.13,0.07,44.25,2.29,6.43,1.98,0.06,0.01,0.0,0.01,0.01,0.01,0.02,0.02,0.01,0.0,0.01,0.02,0.01,0.04,0.02,0.02,0.01,0.01
P2RX2,1.61,0.01,0.0,0.03,0.02,0.1,0.01,0.0,0.08,0.13,0.03,0.12,0.07,0.04,0.14,2.45,1.77,2.03,0.06,0.11,0.26,9.79,0.08,5.2,2.61,3.4,4.05,0.66,0.18,0.61
P2RX3,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.01,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02
P2RX4,37.22,23.62,27.33,17.76,21.74,5.78,4.78,27.1,11.33,1.41,21.62,5.47,9.26,11.57,28.19,58.03,34.51,11.62,16.85,11.74,11.27,35.83,12.47,16.48,32.47,23.09,27.45,6.56,18.97,17.37
P2RX5,11.25,0.23,2.05,0.53,4.54,45.43,56.98,1.2,72.07,52.83,3.31,42.37,5.56,27.81,0.25,2.25,0.1,0.95,9.74,0.11,0.89,0.95,12.5,15.43,6.21,0.51,0.7,0.75,14.6,0.17
P2RX5-TAX1BP3,0.38,0.09,0.3,0.51,0.22,1.01,0.36,0.28,0.33,0.66,0.19,0.7,0.29,0.27,0.13,0.7,0.21,0.2,0.48,0.14,0.24,0.15,0.72,0.24,0.27,0.86,0.31,0.18,0.32,0.22
P2RX6,5.79,7.11,6.14,5.73,0.03,0.03,0.05,5.81,0.91,0.02,0.19,0.0,6.2,0.02,0.02,0.07,0.01,0.02,4.71,0.02,0.07,0.02,0.27,0.3,0.17,0.02,0.05,0.1,0.01,0.21
P2RX7,0.02,0.7,17.36,6.85,3.31,0.01,0.11,10.22,7.0,0.01,2.96,0.3,0.02,5.94,0.01,0.45,0.02,0.05,1.39,0.91,0.16,1.75,2.72,4.73,0.59,0.01,0.02,0.36,0.15,0.35
P2RY1,0.24,6.14,4.47,0.0,0.63,0.02,0.0,0.01,38.62,0.01,0.11,0.01,0.16,0.22,0.05,0.05,0.01,0.01,0.05,0.1,1.06,0.0,0.92,1.95,0.34,0.01,0.01,0.85,0.06,0.13
