,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
QARS,200.34,192.77,178.38,109.61,76.67,161.7,134.49,182.48,268.88,158.99,112.43,190.86,102.74,210.6,103.1,227.02
QDPR,16.32,45.34,20.18,15.48,11.74,34.75,22.4,29.0,16.46,13.24,53.75,40.96,16.3,27.48,32.91,33.75
QKI,64.68,20.02,14.47,11.1,27.91,24.84,27.76,40.92,10.49,68.52,37.82,10.45,19.84,50.45,49.22,39.31
QPCT,0.14,0.1,0.04,0.73,0.04,1.97,1.32,6.24,0.57,14.23,80.58,0.44,4.28,5.82,0.21,0.83
QPCTL,10.23,10.24,8.96,10.55,22.75,12.51,6.73,5.23,6.62,13.21,7.96,10.71,9.84,5.91,14.26,16.08
QPRT,0.46,52.9,52.49,66.91,0.48,1.08,161.58,50.85,118.29,7.78,2.26,129.36,40.0,0.72,55.14,56.21
QRFP,0.57,0.25,0.0,0.29,0.08,1.02,0.27,0.94,1.6,2.18,1.07,0.33,0.66,0.8,0.7,0.54
QRFPR,9.28,0.0,0.0,0.0,0.0,0.0,3.53,0.05,0.0,2.8,0.31,0.0,0.02,0.04,31.47,0.0
QRICH1,64.03,31.86,25.32,28.15,33.74,50.43,33.89,62.4,41.71,50.85,45.11,51.01,32.59,51.36,40.1,56.1
QRICH2,1.66,13.61,2.43,0.27,2.65,1.93,0.68,6.79,1.86,14.61,7.4,3.8,4.48,3.16,13.99,1.44
QRSL1,13.27,19.53,10.23,8.21,6.7,14.61,9.26,13.95,8.85,13.8,13.49,10.53,5.69,6.81,6.15,13.13
QSER1,17.77,11.47,4.65,6.47,21.21,9.72,12.88,13.99,10.99,16.15,15.25,8.19,16.54,37.68,17.19,22.19
QSOX1,97.5,23.38,207.49,68.17,54.19,159.37,338.72,20.38,17.29,87.87,76.38,92.56,76.37,70.23,109.29,93.1
QSOX2,27.52,17.69,6.06,8.28,5.74,14.68,12.74,27.88,7.47,27.43,14.57,7.97,7.58,11.27,37.49,16.95
QTRT1,39.33,79.4,29.47,32.93,50.11,56.01,34.31,46.65,44.64,50.08,26.21,34.06,22.92,35.77,36.74,24.82
QTRTD1,12.96,18.76,7.08,18.39,9.45,20.98,27.46,15.72,12.31,29.58,12.52,17.51,15.1,14.82,28.57,21.11
R3HCC1,17.04,8.55,10.77,11.01,15.99,16.9,4.75,6.35,19.5,12.52,15.91,22.87,7.57,21.93,15.13,15.42
R3HCC1L,8.05,4.13,3.1,7.61,3.98,5.04,10.32,5.86,7.77,8.57,7.11,5.04,5.97,5.77,5.41,8.99
R3HDM1,16.93,24.91,10.4,21.47,20.21,25.1,33.78,16.1,15.05,27.4,31.12,14.97,27.73,23.07,25.09,34.32
R3HDM2,11.82,15.13,20.41,28.71,50.88,16.98,20.27,28.0,18.52,55.98,22.85,33.04,34.41,39.86,16.49,22.66
R3HDM4,34.93,30.38,42.34,27.34,33.25,43.94,46.21,27.17,40.84,57.11,62.39,35.1,40.79,32.74,22.03,42.49
R3HDML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0
RAB10,114.37,112.68,41.29,119.59,87.3,96.39,110.18,76.16,52.62,83.39,100.82,137.54,128.75,65.99,82.06,100.86
RAB11A,293.24,181.83,265.82,394.54,210.89,228.13,341.61,326.99,369.2,270.38,302.28,310.74,378.91,168.83,167.15,428.71
RAB11B,61.51,44.95,39.73,32.61,57.39,78.62,79.87,49.02,45.94,48.08,74.88,55.83,38.73,134.73,92.09,53.09
RAB11FIP1,5.32,6.6,15.66,11.48,201.41,14.39,11.44,25.25,34.55,30.28,39.26,59.06,78.05,14.75,27.53,13.92
RAB11FIP2,8.84,3.11,2.4,3.22,4.46,2.25,5.35,3.04,1.43,6.18,5.0,1.25,7.15,5.59,7.13,5.62
RAB11FIP3,17.51,39.13,21.15,31.06,62.56,13.04,7.06,30.11,17.96,16.54,27.96,36.05,44.3,21.94,18.34,10.31
RAB11FIP4,5.16,11.45,17.31,14.04,39.0,22.32,11.79,12.71,20.32,7.83,19.96,20.71,38.24,17.48,17.43,22.93
RAB11FIP5,16.18,27.12,5.13,1.52,16.28,13.12,16.79,17.17,6.24,6.29,18.46,13.24,31.04,7.54,14.98,19.43
RAB12,25.5,16.1,19.76,15.09,42.45,39.87,49.05,32.84,10.34,108.72,65.43,18.4,24.2,47.17,34.88,53.72
RAB13,171.96,204.71,107.53,114.76,163.17,81.42,219.19,75.66,235.13,73.55,115.19,109.53,173.54,58.03,263.82,157.86
RAB14,22.87,24.68,29.04,34.33,76.95,41.56,47.37,30.16,44.86,27.26,43.84,54.43,44.59,51.62,22.32,67.04
RAB15,5.83,30.81,27.34,24.64,40.61,23.56,38.24,16.83,33.74,13.16,35.58,52.01,35.92,40.79,8.53,22.42
RAB17,1.97,16.06,18.94,34.16,28.59,7.83,10.56,3.95,41.28,18.28,30.73,40.36,35.29,15.09,2.59,28.28
RAB18,70.22,97.28,49.48,52.25,188.17,73.59,108.54,44.71,182.05,113.72,155.94,64.39,136.12,64.36,72.39,91.04
RAB19,0.0,0.39,2.38,0.79,2.1,1.43,0.66,0.21,4.57,0.3,3.72,3.76,8.7,3.89,0.1,1.69
RAB1A,117.92,143.71,110.66,227.31,135.61,144.79,165.32,178.04,134.39,99.56,186.12,198.0,179.78,121.42,189.48,213.77
RAB1B,268.89,218.98,145.15,272.07,249.63,266.23,171.09,58.22,379.38,101.65,220.46,439.94,279.48,226.03,238.36,176.21
RAB20,0.93,2.87,20.69,3.89,3.39,25.4,19.38,15.42,31.39,14.07,6.84,27.01,13.57,0.86,23.45,43.54
RAB21,25.98,12.6,11.69,39.55,41.65,24.31,28.96,18.55,31.01,77.12,37.91,26.51,60.06,19.14,28.45,31.29
RAB22A,11.51,10.76,6.49,20.3,18.21,10.77,10.73,8.69,8.61,7.12,14.92,21.14,33.51,8.65,13.07,22.33
RAB23,10.0,6.22,1.11,4.99,14.32,10.35,12.89,10.98,5.46,7.53,7.87,7.09,5.92,8.35,13.84,13.08
RAB24,19.65,21.0,30.7,30.79,51.25,29.29,8.07,30.04,38.44,12.76,24.62,22.17,31.68,16.0,21.97,43.1
RAB25,0.29,311.21,260.76,122.52,123.01,174.1,219.27,198.92,296.81,54.7,107.84,141.28,130.14,152.0,7.84,222.78
RAB26,0.88,4.28,18.48,13.47,11.28,8.31,6.78,2.23,13.15,0.88,2.17,22.76,6.37,1.42,1.71,5.69
RAB27A,23.14,26.37,2.92,6.32,5.72,8.47,33.29,4.13,6.49,23.34,16.79,9.03,9.98,6.63,15.12,21.4
RAB27B,3.86,0.64,21.46,2.41,21.11,2.94,18.15,2.68,5.25,10.84,2.43,16.4,7.91,5.36,0.39,8.32
RAB28,17.43,6.18,2.53,5.64,13.32,10.6,10.86,13.4,8.31,10.9,11.53,12.85,8.29,9.7,11.21,13.88
RAB2A,86.97,140.94,141.69,109.74,140.86,99.53,154.58,106.47,84.13,155.09,63.45,105.64,187.12,91.9,191.47,156.21
RAB2B,27.29,6.63,3.89,16.38,16.8,15.86,20.34,5.18,9.56,27.89,17.1,15.52,13.4,16.64,8.04,18.23
RAB30,11.29,2.66,3.34,8.19,173.05,3.23,2.81,2.87,10.52,1.87,7.34,2.75,4.58,2.95,2.35,10.84
RAB31,25.95,1.23,0.45,27.83,8.18,8.93,26.21,12.26,2.16,59.18,49.86,5.67,1.23,7.2,9.44,22.17
RAB32,9.92,0.15,6.29,4.99,31.0,18.8,6.12,35.36,17.67,35.52,84.09,1.38,12.43,28.83,12.66,41.03
RAB33A,1.24,0.0,0.04,0.07,0.17,0.34,0.06,0.05,0.02,0.14,0.16,0.07,0.26,0.16,0.08,0.14
RAB33B,5.74,1.27,2.56,3.04,4.14,7.89,3.98,4.18,2.86,1.95,7.47,4.68,3.58,3.43,2.86,4.82
RAB34,33.69,0.27,18.21,0.2,10.64,40.46,28.48,0.19,40.46,91.05,192.48,59.18,0.26,17.74,76.19,1.07
RAB35,25.71,25.65,27.05,34.32,35.91,32.49,27.88,39.18,40.53,25.49,50.76,31.3,35.39,41.4,40.24,33.5
RAB36,6.63,12.14,2.66,1.45,14.41,0.04,0.02,0.79,0.1,4.51,3.77,5.24,1.99,0.06,0.05,2.25
RAB37,7.51,0.21,3.28,10.98,2.3,0.52,0.24,0.13,4.05,0.08,0.64,1.13,4.25,0.08,0.93,0.25
RAB38,0.35,0.06,0.0,0.09,5.41,1.49,12.04,0.12,2.64,3.97,1.36,0.0,10.43,3.56,0.12,0.32
RAB39A,2.07,0.0,0.0,0.0,0.03,0.05,0.0,0.25,0.09,0.04,0.04,0.0,1.68,0.39,3.0,0.09
RAB39B,0.25,0.02,0.23,3.76,1.24,0.01,0.0,1.67,0.17,0.04,0.69,0.86,1.92,0.4,0.11,0.05
RAB3A,6.88,13.85,7.43,7.12,10.36,2.99,1.75,2.24,1.88,1.17,0.66,8.47,15.83,4.1,3.78,4.23
RAB3B,0.34,0.11,0.27,0.03,0.69,0.41,0.02,0.08,0.05,2.21,0.9,0.58,0.23,0.64,0.02,0.26
RAB3C,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.01,0.02
RAB3D,4.8,13.92,29.35,38.68,33.47,15.55,17.77,8.04,19.6,8.42,17.51,105.03,25.46,0.09,6.15,29.33
RAB3GAP1,19.89,17.1,11.05,20.53,21.27,37.12,33.35,13.37,14.65,19.84,49.05,21.54,20.78,20.15,21.43,43.89
RAB3GAP2,13.86,15.84,20.3,7.65,15.08,11.96,18.79,15.61,13.38,26.0,21.33,15.17,11.16,22.64,20.27,19.32
RAB3IL1,22.87,7.87,2.29,1.4,4.02,1.32,1.23,3.47,0.91,5.56,3.64,0.07,7.39,7.47,12.47,4.81
RAB3IP,1.2,1.71,7.91,16.92,24.99,9.39,16.45,30.52,21.07,32.04,26.84,4.18,32.19,14.86,6.03,9.69
RAB40A,0.25,0.02,0.02,0.13,0.08,0.59,0.0,0.1,0.1,0.03,0.74,0.18,0.08,0.53,0.07,0.09
RAB40AL,0.42,0.03,0.0,0.15,0.25,0.19,0.08,0.4,0.0,0.06,0.19,0.12,0.07,0.29,0.62,0.21
RAB40B,20.02,24.99,8.39,5.94,25.05,8.7,14.8,24.33,10.6,3.71,8.19,10.8,16.37,15.82,16.62,12.44
RAB40C,8.41,26.54,18.59,26.1,29.04,13.58,23.51,19.8,25.24,21.33,15.49,31.68,46.07,25.84,16.8,14.32
RAB41,0.22,0.29,0.2,0.2,0.27,0.26,0.13,0.16,0.22,0.38,0.02,0.39,0.32,0.69,0.1,0.07
RAB42,0.12,0.65,0.04,0.11,0.4,3.82,2.63,0.06,0.15,0.08,14.62,0.07,0.17,0.32,4.76,0.05
RAB43,6.06,7.35,3.09,3.7,6.92,13.4,17.98,2.11,3.88,8.47,6.76,11.79,5.16,15.08,38.58,18.72
RAB44,0.02,0.01,0.09,0.02,0.05,0.01,0.05,0.02,0.0,0.01,0.02,0.01,0.01,0.03,0.02,0.03
RAB4A,15.06,37.75,68.71,24.29,29.04,38.19,27.85,58.73,21.84,20.05,36.38,30.43,45.12,25.7,49.16,34.73
RAB4B,14.14,5.32,5.87,24.57,50.4,11.94,31.54,2.93,15.4,18.42,15.94,17.76,30.65,13.81,21.07,29.69
RAB4B-EGLN2,0.3,0.08,0.25,4.15,2.8,0.86,1.82,0.57,1.63,0.4,0.98,1.25,3.44,1.69,0.7,3.23
RAB5A,30.66,14.61,12.3,32.24,38.21,43.87,30.19,25.94,26.06,31.48,67.09,32.72,27.58,27.76,15.56,47.95
RAB5B,22.87,28.2,30.87,41.86,77.71,40.9,42.75,31.55,71.29,31.06,72.5,60.33,73.65,48.84,44.83,62.12
RAB5C,114.8,105.26,103.9,127.09,277.14,143.1,127.94,189.6,246.84,78.73,272.62,187.9,396.07,84.38,137.47,237.19
RAB6A,56.2,76.88,23.24,96.0,213.27,81.24,56.98,50.44,64.01,64.98,132.12,74.7,222.1,91.02,83.83,126.09
RAB6B,5.64,8.37,1.23,2.63,2.49,1.67,0.41,5.68,9.91,8.98,28.01,0.27,5.2,2.13,6.19,2.97
RAB6C,0.07,0.03,0.81,2.95,5.52,0.01,0.05,0.05,2.31,0.02,0.32,3.53,4.37,0.31,0.13,0.06
RAB7A,189.23,149.6,77.49,196.16,121.89,234.14,299.5,144.17,171.34,163.68,260.0,248.77,217.52,89.0,329.13,218.83
RAB7L1,10.94,29.08,15.14,15.87,19.88,7.42,11.38,25.1,21.14,10.21,6.17,19.6,20.2,32.7,20.81,24.83
RAB8A,81.41,40.62,62.0,101.27,64.93,75.02,63.88,28.12,54.57,70.22,61.91,94.2,43.9,74.65,69.85,73.88
RAB8B,16.95,3.71,1.93,6.71,2.47,3.74,6.49,2.69,5.43,18.75,11.94,3.45,7.14,1.8,6.14,8.52
RAB9A,10.28,10.06,9.24,13.25,26.66,30.81,24.12,4.9,19.37,16.45,13.87,21.48,20.38,20.69,15.73,63.39
RAB9B,0.47,0.77,0.08,0.59,0.04,0.08,0.01,1.75,0.31,0.24,0.94,0.16,0.16,2.48,0.39,0.4
RABAC1,194.99,93.97,173.03,158.16,281.24,146.05,132.71,54.31,104.97,148.16,97.99,245.89,108.84,74.11,123.59,246.11
RABEP1,41.1,13.95,23.37,24.77,65.7,24.91,13.75,16.58,84.58,19.48,23.55,141.84,44.47,34.02,37.01,37.52
RABEP2,12.35,18.96,49.32,32.48,47.58,22.79,36.91,21.58,64.08,18.89,23.3,187.03,32.8,21.12,19.19,18.69
RABEPK,29.67,28.64,17.16,18.02,28.54,33.47,15.66,30.68,26.77,29.14,19.68,57.54,22.63,13.94,22.47,19.87
RABGAP1,19.57,24.22,10.62,38.56,39.24,44.79,35.89,32.81,64.9,25.47,64.9,69.17,34.26,42.9,21.14,38.57
RABGAP1L,6.82,5.79,4.14,6.01,17.61,33.73,20.5,7.86,9.87,7.28,14.27,10.03,17.08,11.43,11.03,5.54
RABGEF1,18.55,10.49,7.41,21.73,24.07,17.2,24.09,6.58,22.02,10.17,23.72,14.47,27.48,24.8,24.36,18.1
RABGGTA,22.72,20.42,28.4,33.35,18.13,34.91,28.47,11.51,16.13,31.54,10.33,20.3,22.75,20.32,15.37,33.68
RABGGTB,29.13,193.11,162.52,69.56,141.95,46.7,107.55,101.53,50.45,166.17,63.23,106.2,133.07,200.5,79.44,117.81
RABIF,7.01,10.52,10.12,23.89,17.56,9.41,13.46,13.53,11.16,9.92,13.55,12.09,14.87,15.17,11.19,13.83
RABL2A,1.24,8.33,4.27,8.81,22.87,8.25,3.06,12.59,9.59,8.12,10.45,8.93,13.46,5.11,8.71,9.59
RABL2B,23.58,10.18,10.71,9.91,31.52,11.06,11.0,13.64,15.8,33.41,16.72,7.79,12.73,13.27,21.61,10.58
RABL3,15.94,12.17,5.72,31.79,20.66,10.5,24.93,7.62,25.32,6.84,36.77,19.95,37.47,12.98,29.35,26.69
RABL5,40.2,26.19,47.85,55.37,114.03,27.89,28.91,10.28,36.21,18.04,101.39,42.13,74.12,14.48,45.38,50.3
RABL6,81.72,83.2,68.45,94.62,90.43,104.34,94.23,86.47,96.31,43.8,96.69,243.17,124.4,122.1,70.75,101.72
RAC1,208.54,115.76,91.97,191.8,156.25,284.32,456.4,95.82,266.89,172.51,180.06,200.92,195.79,272.55,202.75,313.96
RAC2,9.59,4.92,0.1,0.04,0.78,7.98,46.38,0.09,8.68,52.14,1.57,0.07,0.27,0.2,26.28,27.35
RAC3,68.29,208.14,37.2,14.36,71.88,9.53,25.82,61.43,34.32,70.41,59.4,25.51,30.97,38.44,71.63,25.82
RACGAP1,125.44,56.05,34.93,88.43,48.23,110.67,93.74,96.57,134.55,99.12,126.77,96.83,142.27,83.04,108.67,111.91
RAD1,47.85,25.08,24.7,28.57,44.04,50.05,94.87,27.4,25.54,39.8,43.55,44.13,36.62,24.51,33.55,68.37
RAD17,14.75,8.89,8.96,14.49,39.7,13.41,10.02,16.11,17.1,21.18,18.94,16.19,16.72,14.66,12.73,15.84
RAD18,14.99,7.39,4.53,10.73,17.51,23.57,9.99,14.97,13.28,18.22,27.95,23.87,12.62,6.34,8.85,18.68
RAD21,216.58,526.09,83.45,227.09,263.12,258.91,290.08,732.48,122.68,234.76,394.98,682.79,362.17,150.18,411.02,789.98
RAD21L1,0.0,0.04,0.03,0.0,0.05,0.1,0.05,0.0,0.0,0.46,0.03,0.22,0.01,0.03,0.03,0.05
RAD23A,196.37,91.98,59.66,95.09,103.43,189.52,161.82,126.49,70.85,98.49,114.59,97.24,87.85,133.13,113.59,102.16
RAD23B,92.2,155.05,130.33,229.17,162.67,262.62,189.28,178.97,239.9,127.65,228.08,262.69,273.75,168.88,108.92,340.5
RAD50,13.21,22.73,16.03,18.73,25.66,29.73,18.49,13.99,17.66,26.72,25.57,13.8,15.94,11.81,12.61,16.83
RAD51,22.02,16.34,17.05,14.54,17.34,40.01,32.21,19.96,22.56,35.63,27.16,20.04,31.31,13.04,12.84,46.94
RAD51AP1,38.93,14.78,7.38,13.21,54.54,74.07,45.81,46.52,12.76,33.82,35.41,34.22,40.33,34.82,41.41,63.67
RAD51AP2,0.05,0.0,0.01,0.0,0.03,0.0,0.45,0.03,0.0,0.46,0.03,0.0,0.0,0.54,0.0,0.61
RAD51B,14.74,19.49,5.55,12.77,10.82,22.73,10.76,11.76,16.39,9.88,9.93,4.8,12.6,5.05,4.2,7.93
RAD51C,44.45,31.85,28.23,334.57,69.73,50.0,33.18,26.56,42.63,61.04,45.81,36.74,76.92,16.59,16.68,59.9
RAD51D,12.98,7.41,9.44,7.82,10.95,10.81,9.22,15.44,15.82,19.91,22.04,5.92,9.21,11.28,13.55,11.82
RAD51L3-RFFL,0.51,0.0,0.33,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.09,0.22,0.0,0.0
RAD52,10.52,9.47,5.68,8.01,14.58,22.1,10.21,17.84,11.71,22.77,8.3,5.97,13.16,21.37,5.72,8.88
RAD54B,10.98,14.68,5.34,16.06,13.18,20.87,23.47,14.19,10.5,27.63,12.63,27.04,30.8,10.05,24.75,33.85
RAD54L,27.39,20.53,4.77,10.42,17.82,18.44,19.79,23.57,8.77,21.11,7.74,8.18,14.49,26.73,28.18,19.01
RAD54L2,7.04,4.66,2.45,2.67,4.35,6.93,4.85,7.84,4.4,5.96,8.54,6.93,7.29,8.82,6.52,8.39
RAD9A,26.09,15.7,10.91,24.64,20.62,34.97,12.09,12.77,33.23,22.83,23.86,38.32,44.24,30.84,22.22,17.45
RAD9B,0.88,0.46,0.1,0.24,0.65,0.81,0.49,0.39,0.26,0.76,0.63,1.07,0.53,0.1,0.57,0.62
RADIL,1.81,0.32,1.96,1.76,1.65,0.68,0.02,7.81,7.07,2.48,1.81,2.55,3.45,0.11,1.19,0.28
RAE1,70.25,55.36,42.4,125.29,59.34,62.11,29.58,31.6,62.99,50.91,56.1,238.95,120.33,21.32,62.58,109.02
RAET1E,0.17,0.15,0.19,0.15,0.06,2.06,0.93,3.17,2.12,2.08,0.76,1.13,0.38,0.0,0.0,1.16
RAET1G,1.09,0.36,0.17,0.39,0.09,3.17,2.11,0.27,1.06,7.78,0.84,0.52,0.05,0.15,0.55,0.41
RAET1L,0.45,0.59,0.49,0.09,0.03,2.34,1.24,4.36,0.03,40.71,0.99,0.0,0.0,0.11,0.54,0.64
RAF1,84.74,46.7,28.64,73.02,82.1,76.31,54.42,88.98,101.75,86.86,262.3,75.19,66.31,77.04,59.46,67.9
RAG1,0.12,0.1,0.0,0.21,0.1,0.27,0.13,0.12,0.84,0.7,0.91,0.01,2.06,0.55,0.17,0.65
RAG2,0.0,0.0,0.0,0.0,0.24,0.19,0.09,0.06,0.13,0.07,0.08,0.0,0.11,0.0,0.19,0.18
RAI1,21.42,19.67,7.24,24.34,12.15,23.18,26.33,7.46,17.17,39.31,16.48,76.74,13.73,22.53,19.43,27.65
RAI14,18.73,40.71,7.21,2.91,22.25,12.97,62.36,16.88,14.7,33.19,61.11,26.35,29.03,28.99,15.77,121.58
RAI2,0.06,0.06,0.09,1.27,0.04,0.06,0.0,0.15,0.19,0.05,1.05,0.0,0.87,3.76,0.01,0.05
RALA,23.36,17.12,23.82,18.21,35.46,28.08,47.92,23.86,30.9,20.88,23.74,43.54,45.46,41.5,22.66,36.18
RALB,21.61,25.34,28.38,53.83,66.37,60.65,69.95,16.1,35.53,34.97,48.42,52.14,66.09,15.58,76.78,108.99
RALBP1,26.69,31.15,23.67,18.1,39.31,46.1,42.95,38.65,18.72,105.46,71.87,37.89,21.29,85.82,35.21,50.32
RALGAPA1,10.91,7.32,13.51,13.77,23.79,8.0,12.04,16.78,20.16,19.31,31.8,17.97,24.76,8.63,7.24,17.43
RALGAPA2,3.7,2.44,5.34,7.14,7.61,4.62,12.7,1.66,3.11,8.3,9.12,6.32,4.63,4.25,5.09,7.98
RALGAPB,17.87,21.97,17.05,14.45,34.76,20.44,20.96,16.61,23.2,45.55,42.23,49.63,17.55,13.74,50.71,16.96
RALGDS,19.48,49.57,23.19,24.31,35.01,17.95,26.4,88.34,15.93,16.6,37.47,38.11,29.3,87.37,36.32,26.77
RALGPS1,2.04,3.82,4.84,5.53,24.64,11.07,2.26,12.46,13.05,7.59,8.5,7.9,14.94,5.83,0.78,8.3
RALGPS2,15.56,5.94,7.08,6.51,41.6,18.06,26.72,10.41,22.53,14.22,10.03,27.08,30.49,10.58,18.35,23.39
RALY,214.56,155.24,57.79,104.36,167.5,199.73,194.61,135.64,164.49,272.87,230.94,155.41,172.76,117.35,319.7,122.77
RALYL,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.01,0.06,0.03,0.02
RAMP1,28.29,0.0,0.46,58.56,15.13,0.49,1.7,0.08,0.06,0.18,2.29,0.09,24.29,4.15,191.49,0.15
RAMP2,3.14,3.06,0.0,0.4,6.15,0.52,0.0,0.43,0.22,0.54,2.48,0.33,1.21,0.07,31.04,0.09
RAMP3,0.0,0.0,0.01,4.84,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
RAN,463.0,524.07,632.29,1005.8,784.82,554.39,506.05,809.68,948.94,649.77,757.02,522.98,812.58,519.01,962.77,624.78
RANBP1,147.0,191.11,92.83,131.07,283.02,302.14,345.67,256.8,82.04,351.82,293.25,98.03,114.6,183.6,386.91,182.2
RANBP10,10.07,7.02,5.17,9.96,14.76,19.1,16.83,7.27,13.39,15.75,14.37,11.15,13.08,10.53,6.64,17.67
RANBP17,7.85,4.43,3.75,6.65,0.03,11.58,3.83,12.54,1.46,16.49,18.9,2.29,3.66,3.83,4.04,2.06
RANBP2,9.72,20.82,13.18,15.6,22.77,18.91,18.65,23.48,11.93,33.25,26.57,32.67,21.36,19.49,38.0,29.14
RANBP3,36.78,50.89,30.68,23.9,48.73,74.25,30.22,45.46,36.9,51.72,48.51,89.82,53.37,97.94,70.48,59.07
RANBP3L,0.02,0.0,0.04,0.0,11.45,0.06,0.01,0.01,4.55,0.02,0.02,0.51,0.22,0.01,0.05,0.09
RANBP6,28.34,18.81,9.83,5.96,10.99,11.76,20.15,11.47,11.48,7.12,21.61,6.13,2.76,18.89,9.42,72.08
RANBP9,31.74,15.58,18.6,41.2,38.32,39.09,30.21,16.22,31.59,26.16,49.55,56.1,73.9,57.89,21.43,39.26
RANGAP1,139.86,81.53,107.68,49.13,40.23,102.05,105.33,87.71,65.45,194.59,52.46,120.67,70.56,104.86,132.87,136.23
RANGRF,38.29,8.5,8.7,6.26,11.96,8.61,16.49,5.19,3.1,24.33,30.89,2.41,4.06,6.95,1.4,19.76
RAP1A,32.87,44.7,28.17,72.87,53.26,100.29,147.79,37.32,26.54,37.9,60.34,50.53,69.36,13.77,33.62,60.47
RAP1B,66.81,49.49,38.97,94.87,151.64,53.99,85.66,82.38,88.63,238.63,144.56,70.17,125.95,61.16,70.19,121.39
RAP1GAP,20.71,6.55,11.13,4.22,8.75,6.37,10.18,7.11,1.62,6.06,11.82,57.8,7.07,0.67,5.54,14.5
RAP1GAP2,15.88,26.69,5.34,7.96,3.21,10.0,4.26,5.02,7.45,27.26,10.23,17.15,5.0,0.07,10.71,16.54
RAP1GDS1,40.2,22.01,20.74,22.2,29.87,31.15,31.94,20.07,14.27,15.02,35.94,29.99,45.22,27.36,29.18,36.17
RAP2A,10.92,4.74,4.73,3.61,6.66,10.44,5.93,12.79,6.55,3.74,8.9,8.15,8.34,45.11,8.47,10.88
RAP2B,5.82,6.28,1.75,5.24,4.62,13.66,12.7,22.05,4.23,25.59,15.45,5.65,7.17,6.81,10.2,10.6
RAP2C,26.3,6.86,22.17,54.3,32.34,21.48,37.11,7.41,18.87,29.37,22.15,18.46,59.9,53.24,18.42,44.26
RAPGEF1,16.69,20.38,7.7,13.22,21.64,14.3,14.17,23.48,20.55,13.94,40.76,25.5,50.4,39.06,20.85,22.91
RAPGEF2,17.79,17.55,7.85,5.81,5.55,12.5,11.75,16.04,7.35,11.59,40.55,17.91,10.21,11.63,46.84,14.81
RAPGEF3,5.03,6.04,10.41,0.38,1.12,8.15,2.75,0.18,12.96,1.46,1.72,16.92,1.62,0.32,1.3,3.61
RAPGEF4,0.17,0.31,0.16,0.1,0.67,0.77,0.03,2.88,0.07,0.36,0.53,0.19,0.6,0.58,8.51,3.33
RAPGEF5,0.56,5.08,1.47,1.4,3.68,1.94,4.53,11.08,2.67,3.97,0.45,11.37,3.45,2.53,1.39,6.77
RAPGEF6,5.76,3.84,3.11,4.16,6.3,5.03,4.36,4.78,3.66,8.22,5.82,4.7,7.2,4.56,3.9,6.56
RAPGEFL1,3.49,4.84,3.3,4.86,27.71,19.0,3.96,4.43,71.25,3.63,8.68,2.8,82.73,5.74,7.28,2.12
RAPH1,9.76,5.5,1.68,11.34,5.31,5.98,5.05,10.58,2.89,12.14,9.84,5.19,13.37,4.29,6.07,15.31
RAPSN,0.03,0.1,0.03,0.13,0.15,0.18,0.15,0.46,0.1,1.29,0.36,0.16,0.14,0.02,0.04,0.0
RARA,17.94,9.52,10.19,17.36,27.7,13.84,18.95,13.01,67.55,6.79,72.72,17.45,47.75,19.84,19.81,41.23
RARB,0.09,6.13,0.04,0.01,2.05,0.35,3.87,1.6,0.1,0.24,4.77,5.79,0.08,0.43,4.18,0.11
RARG,22.65,16.65,13.73,36.19,21.16,46.14,59.3,18.41,33.85,34.19,43.88,31.97,28.22,53.31,48.29,32.08
RARRES1,7.92,18.53,0.1,0.24,0.9,2119.1,3336.8,1.62,0.15,29.15,214.06,0.02,0.41,538.84,20.66,646.8
RARRES2,0.38,0.54,0.21,0.24,1.01,10.09,0.42,0.0,0.16,0.86,0.41,0.11,0.5,8.52,0.35,0.34
RARRES3,26.39,13.62,1.17,1.12,7.49,362.45,262.68,0.55,13.59,22.68,8.85,14.88,5.29,141.32,3.67,355.0
RARS,78.18,49.38,82.68,72.47,61.24,94.23,60.45,71.1,71.39,122.13,49.33,56.02,43.21,46.1,50.01,87.01
RARS2,11.13,17.79,14.11,29.87,19.58,27.49,16.91,17.87,15.03,29.28,19.84,32.39,11.94,22.3,13.04,24.17
RASA1,10.76,14.61,14.51,16.89,81.63,28.33,25.86,21.16,15.34,51.18,44.85,13.59,17.17,20.2,14.72,27.17
RASA2,5.71,10.2,1.32,3.04,8.39,6.91,14.18,12.1,4.66,10.12,8.68,5.24,4.72,6.42,10.78,4.89
RASA3,9.03,1.89,1.87,2.39,1.5,4.74,2.1,5.33,3.21,6.28,6.1,0.43,2.55,0.14,3.62,3.4
