,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
COQ7,23.37,15.03,14.34,9.0,7.41,11.52,15.44,12.87,15.86,15.59,12.0,16.48
COQ9,68.72,65.22,58.66,21.17,36.63,31.74,38.31,47.82,64.77,51.42,30.65,83.42
CORIN,2.65,0.43,2.2,0.0,0.02,0.02,0.11,0.01,0.0,0.16,0.01,0.47
CORO1A,8.59,10.73,61.57,8.03,5.89,18.04,15.25,0.8,10.82,17.39,3.9,2.09
CORO1B,36.62,107.13,62.36,65.04,49.02,207.63,109.4,98.04,64.54,110.98,115.51,47.15
CORO1C,43.01,84.84,81.02,36.51,135.85,183.71,60.47,81.83,84.36,49.72,72.02,54.21
CORO2A,2.71,0.42,8.84,5.81,0.42,2.35,12.22,6.47,22.68,13.41,20.03,7.19
CORO2B,0.12,0.19,2.3,0.14,4.09,4.88,5.41,0.51,0.19,1.96,0.01,0.01
CORO6,0.07,1.04,0.34,0.08,0.03,0.29,0.79,0.2,1.93,0.15,0.13,0.26
CORO7,10.81,9.7,34.96,8.77,22.87,9.13,6.94,18.36,15.8,12.67,14.71,9.39
CORO7-PAM16,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.02,0.0,0.2,0.55,0.03
CORT,0.0,0.21,2.24,0.23,0.4,0.07,0.11,0.19,0.74,0.11,0.0,0.71
COTL1,130.6,48.11,119.41,81.06,70.2,219.58,219.94,173.86,122.61,195.16,22.88,64.11
COX10,17.82,12.99,10.56,5.49,10.7,13.51,6.57,7.52,4.06,10.13,15.56,18.07
COX11,53.83,58.65,44.49,23.14,31.62,32.33,40.47,35.98,49.2,32.9,43.32,69.38
COX14,39.05,69.22,75.09,27.01,99.93,63.63,58.0,61.62,54.19,94.52,91.96,78.82
COX15,25.02,33.96,36.03,22.24,15.29,19.61,21.81,25.51,37.17,16.11,21.83,33.86
COX16,11.43,61.35,78.46,37.76,124.15,41.7,57.46,73.35,85.97,85.92,69.79,51.18
COX17,23.34,90.57,115.56,65.82,81.87,69.18,141.93,78.99,103.77,84.1,101.75,94.64
COX18,14.84,12.81,4.22,4.11,11.44,6.56,4.42,5.27,8.56,9.4,8.79,11.67
COX19,36.19,10.75,8.26,13.41,7.76,8.23,9.29,21.11,12.85,9.52,13.55,16.29
COX20,38.04,68.68,51.44,20.88,51.85,40.46,145.04,87.0,61.74,57.77,49.29,39.41
COX4I1,438.18,432.18,854.72,251.59,554.86,595.02,520.54,632.86,559.4,785.72,569.85,880.25
COX4I2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
COX5A,241.32,344.51,295.22,224.74,168.15,258.06,360.92,477.3,315.82,510.88,217.81,271.62
COX5B,122.53,169.42,379.78,205.77,220.62,189.01,259.06,278.58,286.57,392.28,616.06,424.27
COX6A1,378.27,590.59,752.69,365.98,597.31,544.35,578.31,970.97,692.08,817.86,856.52,1636.3
COX6A1P2,11.91,11.67,25.34,13.95,13.99,13.55,17.61,27.13,20.63,18.44,19.42,73.22
COX6A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
COX6B1,121.6,333.19,422.6,131.1,254.31,417.85,386.07,418.91,333.67,484.96,522.77,407.62
COX6B2,0.03,0.12,1.03,3.23,0.14,0.05,2.39,0.34,6.24,0.19,0.04,0.29
COX6C,270.24,259.15,865.32,174.09,1006.0,276.68,509.57,382.03,420.16,486.11,484.38,1068.9
COX7A1,0.08,0.0,0.08,0.0,0.12,0.04,0.0,0.09,0.08,0.0,0.17,0.21
COX7A2,92.03,325.41,319.75,115.57,505.49,251.14,174.72,268.5,121.88,594.25,558.63,624.29
COX7A2L,124.76,82.98,132.98,67.13,128.1,149.29,118.0,80.22,133.17,145.42,184.15,231.53
COX7B,31.57,119.18,131.68,35.78,97.45,82.37,101.26,201.14,93.03,68.69,41.49,193.83
COX7B2,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0
COX7C,506.94,895.34,1021.8,574.12,1194.7,407.49,372.87,474.37,910.1,720.82,638.35,1595.4
COX8A,294.22,846.28,793.08,321.74,535.13,1049.0,676.79,587.25,567.48,810.79,792.06,589.5
COX8C,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.08,0.05
CP,0.45,0.2,0.99,0.25,0.02,0.14,0.22,0.14,0.38,0.1,0.2,0.27
CPA1,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPA2,0.0,0.12,5.6,0.0,0.06,0.0,0.0,0.09,0.11,0.01,0.0,0.05
CPA3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.0
CPA4,0.68,0.04,4.89,0.73,0.06,52.25,1.18,0.2,1.15,0.09,0.08,0.08
CPA5,0.0,0.81,0.5,0.17,0.0,0.51,0.04,0.01,0.0,0.15,0.0,0.0
CPA6,0.06,0.0,0.06,0.0,0.0,0.28,0.02,0.02,0.0,1.33,0.56,0.0
CPAMD8,0.0,1.03,0.06,0.04,0.0,0.24,0.0,0.06,0.51,0.16,0.73,0.13
CPB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPB2,0.0,0.02,0.0,0.02,0.17,0.06,0.04,0.0,0.0,0.1,0.0,0.01
CPD,24.82,12.39,16.25,10.93,5.91,12.38,12.02,14.87,19.71,16.1,20.46,20.17
CPE,1.33,4.52,5.9,2.62,0.06,3.09,0.43,3.77,1.02,0.94,7.01,0.05
CPEB1,0.21,0.01,0.0,0.03,0.03,11.59,0.04,0.01,0.04,0.0,0.0,0.0
CPEB2,5.85,0.07,6.43,2.72,0.53,9.61,1.16,2.62,4.26,1.34,2.0,1.1
CPEB3,0.81,0.31,0.41,0.52,0.77,0.09,0.44,0.51,1.27,0.58,0.72,0.94
CPEB4,1.7,6.01,6.21,6.31,4.85,5.26,23.7,3.67,12.5,5.4,2.25,2.82
CPED1,0.07,0.05,0.03,0.13,0.05,10.35,2.74,0.16,2.0,0.04,0.05,0.05
CPLX1,1.65,0.87,1.08,3.03,4.5,3.67,31.36,0.36,2.02,0.62,5.8,3.13
CPLX2,0.03,14.08,2.94,0.08,0.02,0.0,787.48,0.02,0.08,1.07,1.44,0.01
CPLX3,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.01,0.01,0.0
CPLX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
CPM,0.44,0.01,1.04,0.15,0.01,3.3,0.14,0.25,1.53,0.06,1.87,0.04
CPN1,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.09,0.16,0.0,0.0
CPN2,0.03,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0
CPNE1,141.19,159.42,157.23,151.25,135.76,344.35,198.06,138.27,338.46,435.87,164.24,193.2
CPNE2,17.03,22.03,15.53,6.57,13.75,43.6,10.12,15.64,28.09,18.93,17.32,3.94
CPNE3,53.09,22.12,37.33,12.58,33.51,12.42,27.61,25.78,42.58,29.06,32.81,12.33
