,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
MPP3,37.01,5.24,3.87,6.66,31.98,8.67,10.56,10.43,21.18,4.16,7.73,7.0
MPP4,0.04,0.05,0.67,0.07,0.05,32.07,0.15,0.03,0.18,0.02,0.02,0.02
MPP5,20.84,10.28,6.92,12.86,15.17,11.66,14.85,14.37,39.58,7.97,7.96,12.39
MPP6,31.07,20.35,8.46,7.15,9.64,7.48,17.65,7.13,20.04,3.4,6.51,2.31
MPP7,21.47,8.48,4.64,4.64,0.11,0.15,5.07,9.47,18.7,6.0,8.92,3.62
MPPE1,11.09,15.82,5.24,10.21,20.62,22.53,12.63,20.91,8.76,11.3,17.26,11.32
MPPED1,0.02,0.04,0.58,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
MPPED2,0.0,0.02,0.02,0.0,0.04,0.01,0.0,0.01,0.0,0.03,0.0,0.0
MPRIP,347.91,89.38,58.12,84.1,30.48,229.79,98.24,107.58,225.27,74.34,86.27,125.26
MPST,28.54,48.42,37.77,19.7,25.32,20.62,20.5,25.8,14.28,36.31,33.92,84.48
MPV17,18.52,45.46,52.77,22.88,42.9,83.94,37.97,35.88,35.95,34.77,71.89,46.57
MPV17L,0.06,0.01,0.16,0.01,0.0,0.0,0.85,1.83,2.1,2.84,0.08,0.0
MPV17L2,11.4,19.26,16.5,6.05,10.24,21.37,28.73,19.91,9.7,12.38,12.5,15.24
MPZ,0.51,0.51,0.41,0.27,0.03,0.51,2.7,0.07,2.77,0.31,0.03,0.02
MPZL1,54.38,31.53,34.18,15.33,21.76,48.16,28.32,78.3,74.21,37.22,44.96,18.45
MPZL2,15.69,14.69,20.76,11.52,0.05,0.1,27.56,25.2,37.3,29.55,85.13,16.08
MPZL3,5.96,3.07,8.03,3.33,0.9,0.3,5.34,7.05,12.98,6.61,11.72,8.21
MR1,0.93,3.64,3.63,0.26,3.03,7.84,0.6,1.75,3.59,2.21,2.4,2.68
MRAP,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRAP2,0.05,0.15,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.02,0.07,0.03
MRAS,5.62,0.7,0.23,0.25,2.83,13.17,5.84,0.05,6.91,0.66,0.02,0.29
MRC1,0.02,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02
MRC1L1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.01
MRC2,0.6,0.19,0.43,0.32,0.05,47.34,0.63,0.14,3.16,0.08,0.19,0.11
MRE11A,17.38,27.12,13.71,13.46,12.9,13.15,24.47,21.83,51.95,17.77,18.84,17.21
MREG,17.83,8.58,5.26,1.58,10.98,6.53,5.74,10.36,10.63,7.18,6.94,7.2
MRFAP1,203.53,198.58,210.66,111.64,159.7,302.16,136.06,104.6,303.83,123.78,131.82,207.74
MRFAP1L1,70.32,57.92,42.46,30.92,43.31,60.92,42.52,29.79,91.07,28.61,33.03,50.54
MRGBP,37.56,68.65,50.97,21.8,64.94,83.26,142.23,40.96,71.21,22.51,58.19,58.02
MRGPRD,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0
MRGPRE,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03
MRGPRF,0.39,1.35,0.02,0.03,0.01,0.05,0.31,0.05,0.04,0.25,0.08,0.02
MRGPRG,0.0,0.0,0.0,0.21,0.0,0.0,0.08,0.03,0.13,0.0,0.0,0.0
MRGPRX1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRGPRX2,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01
MRGPRX3,0.0,0.0,0.0,0.08,0.0,0.42,0.0,0.0,0.03,0.0,0.0,0.02
MRGPRX4,0.0,0.0,0.0,0.0,0.0,1.03,0.57,0.0,0.0,0.0,0.0,0.0
MRI1,18.46,37.03,18.25,15.05,23.86,25.95,27.46,19.22,41.5,17.11,24.19,19.6
MRM1,7.49,18.26,14.07,7.28,3.66,10.83,9.55,6.89,9.99,8.27,11.75,4.08
MRO,0.02,0.0,0.0,0.04,0.03,0.0,0.0,0.02,0.0,0.0,0.15,0.01
MROH1,18.36,11.92,23.99,15.32,22.71,18.76,23.93,13.02,21.21,12.18,14.32,18.34
MROH2A,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.08,0.0,0.0,0.08,0.09
MROH2B,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MROH6,12.8,6.47,18.01,32.51,6.97,0.75,38.38,12.16,30.54,14.51,5.8,16.69
MROH7,1.47,0.05,0.0,0.59,0.01,0.0,0.12,0.35,0.53,1.68,3.5,0.5
MROH7-TTC4,0.52,0.05,0.37,0.05,0.01,0.0,0.03,0.07,0.0,0.18,0.56,0.07
MROH8,2.46,1.22,0.16,2.27,0.03,1.92,1.21,0.42,0.51,0.58,1.01,0.72
MROH9,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
MRP63,22.26,16.72,33.47,22.6,37.35,13.93,14.18,15.7,14.09,27.97,42.6,29.21
MRPL1,43.26,36.2,25.87,35.77,43.64,8.59,20.55,21.86,41.19,16.41,11.73,67.52
MRPL10,64.8,45.54,33.04,33.76,26.63,50.68,35.83,27.98,35.17,40.05,38.4,36.48
MRPL11,95.61,142.21,152.05,56.29,98.92,83.98,111.05,91.71,108.42,81.37,67.81,144.45
MRPL12,129.24,213.65,132.67,82.36,104.65,158.35,101.54,114.36,147.31,102.48,109.19,141.23
MRPL13,34.76,79.84,121.95,30.26,263.7,49.58,60.28,64.85,75.34,81.99,75.1,157.34
MRPL14,47.24,71.96,76.16,28.84,78.02,96.81,62.83,79.49,82.36,67.11,63.42,80.72
MRPL15,94.79,83.77,137.98,47.68,145.0,157.3,41.99,52.95,154.12,55.72,61.99,99.65
MRPL16,54.42,95.82,82.49,27.45,65.19,56.97,52.2,76.27,71.35,75.6,67.22,62.75
MRPL17,62.91,68.21,62.2,33.48,86.78,114.88,101.98,95.72,63.99,76.17,69.01,79.27
MRPL18,74.05,117.16,91.87,69.01,81.54,73.32,77.46,107.49,93.51,107.31,79.31,100.29
MRPL19,90.18,55.24,51.01,23.9,71.05,31.68,42.44,49.26,50.5,40.06,47.8,36.24
MRPL2,79.02,81.85,59.07,33.1,28.17,50.47,56.11,52.01,76.28,73.01,51.73,53.29
MRPL20,132.59,232.32,190.29,62.5,283.38,151.89,148.58,143.85,208.68,129.14,104.44,176.83
MRPL21,102.46,192.85,158.71,58.02,114.03,121.55,97.76,134.72,167.17,91.58,65.27,129.67
MRPL22,57.7,47.72,79.48,32.14,42.21,34.36,46.66,46.05,72.94,35.96,19.92,53.38
MRPL23,36.25,191.97,190.98,70.86,72.65,240.86,131.26,149.78,82.34,140.58,150.18,144.46
MRPL24,87.99,61.3,62.03,36.56,109.22,147.66,75.66,70.46,106.78,102.55,97.74,87.88
MRPL27,33.32,123.22,78.26,40.84,109.72,166.0,85.62,70.94,76.69,102.81,85.0,74.62
MRPL28,62.48,126.26,81.68,31.08,78.78,112.2,91.51,62.21,117.52,52.93,38.29,75.01
MRPL3,136.9,123.31,177.19,102.34,130.54,100.07,143.18,120.7,152.47,121.52,94.6,156.71
MRPL30,4.03,0.8400000000000001,1.145,0.305,1.835,1.3450000000000002,0.92,1.825,4.914999999999999,1.16,2.625,3.9699999999999998
MRPL32,131.84,98.8,100.42,53.49,141.42,54.94,72.62,112.64,72.11,100.84,79.17,100.81
MRPL33,60.02,165.17,165.01,91.02,195.04,172.52,258.57,122.87,186.41,229.57,234.02,169.61
MRPL34,77.26,90.5,61.76,27.73,63.43,78.75,41.44,71.13,35.48,60.04,60.94,93.54
MRPL35,67.9,39.18,82.95,35.92,92.16,53.23,63.33,74.55,96.5,84.1,53.63,102.7
MRPL36,46.98,131.62,76.44,62.06,120.89,95.15,87.05,47.49,60.93,100.3,78.58,37.75
MRPL37,98.29,118.87,108.18,38.42,71.8,95.1,111.93,99.07,57.32,58.63,67.83,88.92
MRPL38,49.46,106.14,46.73,50.67,45.32,46.63,50.63,59.37,51.51,48.31,35.14,44.03
MRPL39,51.84,54.48,81.01,36.99,85.46,50.14,31.89,38.53,80.25,30.46,29.65,29.48
MRPL4,111.47,88.5,78.8,35.15,71.05,81.63,74.87,82.2,40.3,81.78,64.61,64.56
MRPL40,28.76,44.32,19.35,11.01,31.41,45.41,50.03,17.28,91.08,14.04,13.74,42.02
MRPL41,26.73,38.67,42.65,52.47,182.13,70.3,50.65,66.13,45.96,42.8,27.84,44.02
MRPL42,85.92,89.19,98.57,36.86,114.03,52.1,57.62,66.24,113.4,80.21,81.05,151.65
MRPL43,61.29,77.02,47.43,34.96,70.79,110.68,89.33,71.77,82.56,54.17,45.35,71.81
MRPL44,32.19,31.36,37.05,21.35,22.53,29.47,31.77,28.03,35.18,36.69,39.95,22.59
MRPL45,63.42,53.54,54.62,30.81,41.54,23.76,40.91,20.91,48.73,41.23,36.47,72.01
MRPL46,30.28,46.65,30.68,25.28,45.21,35.67,28.96,32.69,31.48,40.56,34.55,55.97
MRPL47,39.86,42.36,117.47,35.79,64.29,33.26,41.45,57.66,51.12,37.95,35.29,77.62
MRPL48,60.35,75.84,89.96,38.46,33.6,53.88,62.37,52.99,39.75,80.42,68.48,68.12
MRPL49,76.39,91.63,85.63,32.41,29.7,74.09,66.75,49.2,73.92,48.05,48.36,70.97
MRPL50,28.75,35.1,23.78,8.28,66.5,13.68,19.07,15.58,28.75,31.46,29.95,26.4
MRPL51,113.43,249.81,203.28,109.39,216.4,136.39,186.14,221.76,245.42,132.28,122.15,155.06
MRPL52,112.33,190.63,200.16,143.92,222.91,290.98,193.53,164.98,200.68,169.82,92.23,159.96
MRPL53,14.06,71.81,35.96,28.44,57.94,83.69,81.07,40.18,72.82,61.31,47.61,62.76
MRPL54,31.28,71.13,62.52,19.59,61.1,66.13,33.13,45.83,27.37,82.57,64.37,84.3
MRPL55,110.82,41.27,39.44,12.19,64.46,51.79,54.75,42.1,52.46,39.64,31.99,55.94
MRPL9,44.98,110.07,74.15,40.28,77.33,98.91,79.74,83.64,66.48,100.15,68.31,78.49
MRPS10,61.99,31.06,49.57,20.38,35.55,32.24,32.29,29.51,42.29,38.43,35.06,93.02
MRPS11,38.74,61.78,37.84,26.86,45.78,75.38,54.84,40.66,32.06,35.69,37.92,65.66
MRPS12,51.99,69.53,57.52,30.37,77.51,76.02,74.5,62.1,64.57,59.83,70.16,66.12
MRPS14,20.13,24.8,13.46,6.84,19.6,19.46,14.71,22.94,22.33,23.84,25.58,22.14
MRPS15,94.88,99.8,141.81,43.68,127.26,78.32,75.75,103.08,108.08,91.67,51.41,110.67
MRPS16,106.79,98.43,88.88,44.69,51.91,132.17,68.04,74.26,98.36,49.03,40.32,105.9
MRPS17,16.46,22.779999999999998,11.334999999999999,5.909999999999999,18.115,12.389999999999999,13.32,15.44,11.809999999999999,10.14,12.795,14.85
MRPS18A,49.14,56.2,66.16,26.46,35.0,32.73,45.13,43.53,53.03,56.21,44.84,66.3
MRPS18B,102.16,93.01,107.47,35.37,37.32,65.97,42.21,44.29,64.94,52.66,99.93,31.12
MRPS18C,43.0,104.54,31.1,21.34,96.33,42.49,58.34,47.88,73.44,47.11,38.2,72.6
MRPS2,101.1,86.17,59.26,82.16,91.49,56.86,78.11,75.82,61.82,71.91,67.25,34.99
MRPS21,35.77,35.67,39.66,11.41,149.16,22.63,22.13,35.0,6.49,47.47,30.06,47.87
MRPS22,69.99,83.75,88.2,57.29,69.18,55.35,73.24,49.16,83.22,57.62,54.81,95.05
MRPS23,118.7,137.61,103.7,50.83,151.78,106.16,105.97,100.73,135.1,85.11,73.64,133.37
MRPS24,165.24,215.19,141.49,71.96,187.86,420.7,183.14,165.8,113.91,181.96,174.87,158.08
MRPS25,69.12,50.92,68.04,25.97,36.54,37.88,46.26,33.44,36.22,50.95,52.07,51.53
MRPS26,96.53,132.63,74.71,18.48,93.23,71.68,36.9,49.03,28.23,30.88,39.65,50.5
MRPS27,61.45,66.76,70.08,46.57,46.84,34.48,26.15,20.83,47.44,39.69,30.19,52.67
MRPS28,41.34,73.66,145.31,20.43,120.82,63.55,25.46,46.62,34.19,78.54,65.92,55.99
MRPS30,40.77,54.75,68.32,27.64,25.93,26.0,40.06,19.48,38.09,28.54,30.72,30.26
MRPS31,27.61,15.52,72.89,18.09,15.14,19.4,12.72,13.2,18.63,25.6,48.44,26.11
MRPS33,66.46,131.72,134.52,79.08,39.52,135.64,126.65,76.86,105.51,132.66,135.54,127.88
MRPS34,137.8,159.77,132.21,68.28,105.94,121.63,130.62,146.31,95.05,98.32,62.98,110.7
MRPS35,55.13,104.36,148.81,62.3,50.39,26.86,51.41,140.67,71.71,84.12,110.3,74.64
MRPS36,15.7,46.12,50.04,21.08,42.95,16.89,20.0,26.38,31.36,33.64,20.28,49.26
MRPS5,74.25,56.85,86.08,53.03,42.6,52.42,61.87,68.9,96.99,49.72,81.98,74.2
MRPS6,59.46,87.6,60.93,45.94,40.75,79.2,77.37,41.87,79.53,40.99,36.93,18.61
MRPS7,55.44,138.78,83.3,59.26,56.95,88.12,92.33,70.02,88.13,72.2,56.92,89.66
MRPS9,46.64,41.82,58.16,29.43,23.27,22.73,42.38,35.08,38.05,18.53,47.61,35.05
MRRF,59.24,36.95,41.73,26.82,73.88,24.62,33.46,40.15,64.4,49.29,47.12,69.35
MRS2,36.24,20.78,27.75,11.02,43.85,11.09,19.7,30.01,43.78,16.05,21.04,12.09
MRTO4,61.68,68.67,66.2,19.29,64.74,54.51,38.71,38.81,63.18,17.42,24.28,38.03
MRVI1,0.04,0.01,0.01,0.01,0.0,0.05,0.02,0.01,1.11,0.01,0.07,0.02
MS4A1,0.92,0.02,2.82,0.54,0.03,0.15,0.0,0.13,1.58,0.0,0.11,0.0
MS4A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.1,0.0,0.02
MS4A13,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A15,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.45,0.08,0.56,0.0
MS4A18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
MS4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
MS4A3,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.02,0.0,0.23
MS4A4A,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
MS4A4E,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02
MS4A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A6A,0.0,0.0,0.0,0.05,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.01
MS4A6E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A7,0.0,0.01,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MS4A8,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.01,0.44,0.0,0.38,0.25
MSANTD1,0.35,0.09,0.19,0.15,0.14,0.08,0.11,0.4,0.45,0.08,0.04,0.37
MSANTD2,9.72,6.62,7.65,7.18,5.05,5.93,6.02,11.43,15.24,2.94,6.39,7.43
MSANTD3,14.35,26.27,12.23,8.29,100.52,112.33,16.38,13.76,26.34,13.26,15.8,11.93
MSANTD3-TMEFF1,0.0,2.0,0.0,0.0,1.97,1.64,0.0,0.43,0.0,0.0,0.0,0.0
MSANTD4,16.97,17.73,4.01,6.33,17.48,11.67,17.74,7.69,22.48,8.81,10.91,0.04
MSC,0.75,0.02,0.3,0.14,0.0,8.9,0.16,0.0,0.51,0.03,0.0,0.0
MSGN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSH2,54.08,57.57,40.73,22.75,24.52,12.37,38.72,33.48,71.26,17.72,41.24,17.95
MSH3,13.23,11.42,8.37,7.64,2.15,3.46,5.03,4.63,15.8,6.24,4.64,7.01
MSH4,0.79,0.01,0.0,0.0,0.52,0.0,0.36,0.01,0.0,0.01,0.03,0.7
MSH5,49.37,27.63,15.89,13.73,48.45,8.09,11.71,18.83,31.29,8.21,27.62,51.29
MSH5-SAPCD1,6.88,8.9,2.22,3.33,14.08,1.28,2.78,6.8,4.41,2.74,10.03,11.35
MSH6,27.54,33.71,21.56,17.17,13.28,26.76,40.4,29.37,57.37,19.05,29.79,4.73
MSI1,0.23,0.01,5.44,0.47,6.66,0.01,0.26,0.05,0.86,0.07,1.04,0.01
MSI2,15.6,59.73,43.68,27.11,10.94,14.83,64.96,38.74,19.23,43.74,61.68,44.13
MSL1,39.69,32.42,32.14,31.13,36.07,37.49,34.79,38.22,48.37,35.7,49.13,39.31
MSL2,17.27,13.07,8.52,8.24,8.49,8.72,13.37,16.35,15.23,10.08,14.73,11.18
MSL3,20.57,26.0,14.09,15.19,31.47,10.99,20.56,14.99,20.45,14.16,17.38,17.89
MSLN,74.38,25.11,14.32,150.41,0.02,0.49,4.38,3.03,59.47,27.74,0.78,0.74
MSLNL,1.77,0.31,0.0,2.69,0.0,0.0,0.05,0.03,1.46,0.22,0.01,0.01
MSMB,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.8,0.39,0.0,0.08,0.29
MSMO1,23.89,10.7,29.51,26.27,21.1,54.5,21.54,66.19,66.47,57.66,77.91,20.0
MSMP,0.0,0.36,0.0,0.1,0.09,0.09,0.28,0.04,0.0,0.07,0.0,0.05
MSN,4.14,177.46,3.38,2.23,0.87,310.86,27.47,1.26,19.01,0.79,0.38,0.45
MSR1,0.89,0.0,0.05,0.01,0.0,0.02,0.03,0.0,0.38,0.0,0.24,0.04
MSRA,9.25,8.79,3.0,1.29,3.16,17.52,2.66,4.76,2.19,6.34,4.42,2.51
MSRB1,27.13,62.29,35.42,15.7,30.09,22.58,31.61,36.73,15.81,51.35,18.82,17.98
MSRB2,4.62,9.65,11.44,3.48,3.07,14.9,17.08,10.45,23.11,16.45,14.99,14.98
MSRB3,0.47,15.85,0.2,0.23,1.72,17.31,1.51,0.05,0.3,0.3,0.06,0.05
MSS51,1.68,0.72,0.64,0.67,1.29,0.44,0.51,1.57,1.12,0.43,0.75,1.95
MST1,16.19,3.62,3.97,4.81,2.16,1.48,5.27,2.17,3.17,2.85,7.86,6.61
MST1R,59.58,31.36,37.68,42.56,12.26,0.15,133.97,110.17,39.75,40.99,44.16,65.76
MST4,16.58,32.37,12.49,11.37,21.87,0.03,16.79,42.79,23.9,18.26,15.19,19.32
MSTN,0.54,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.05,0.12,0.18,0.35
MSTO1,42.36,33.71,13.42,16.5,61.19,33.22,31.41,84.33,50.97,13.97,20.7,45.24
MSX1,5.81,4.67,2.23,2.44,7.19,4.05,15.43,4.81,52.12,27.71,1.09,1.18
MSX2,32.09,7.84,0.02,18.08,0.83,4.58,88.07,14.64,3.72,0.15,8.32,3.14
MT-ATP6,9357.7,11532.0,23065.0,38890.0,10801.0,10825.0,18048.0,24294.0,14374.0,14829.0,12520.0,7901.7
MT-ATP8,32085.0,61173.0,78488.0,135300.0,65591.0,41825.0,72429.0,88336.0,52315.0,95496.0,92160.0,23427.0
MT-CO1,13523.0,10623.0,27070.0,51749.0,7144.6,11421.0,15987.0,34219.0,14978.0,14461.0,9967.8,7889.6
MT-CO2,13111.0,18614.0,26605.0,45080.0,8793.3,20048.0,27574.0,48612.0,18364.0,31072.0,24774.0,10230.0
MT-CO3,11506.0,15448.0,29059.0,47835.0,7112.2,13583.0,18097.0,29830.0,16312.0,18573.0,15143.0,9730.4
MT-CYB,2460.7,3939.4,6551.8,12776.0,2703.6,3082.8,5443.3,5893.6,2831.4,6485.4,4984.2,2143.4
MT-ND1,2538.8,3640.7,5004.0,23273.0,1929.8,2650.5,5520.7,5951.5,4766.6,5097.8,5268.8,1275.4
MT-ND2,5714.3,5048.9,10144.0,20815.0,4617.0,4339.6,7494.0,10280.0,7645.0,7182.4,8819.6,2999.1
MT-ND3,5934.2,5517.4,11707.0,18968.0,6704.5,5679.1,10489.0,10694.0,6479.7,16943.0,18770.0,5606.2
MT-ND4,8142.5,6774.6,13070.0,30679.0,6600.8,7233.6,11471.0,17256.0,9514.8,11087.0,7818.8,5616.4
MT-ND4L,10719.0,8354.6,16363.0,44625.0,9269.3,7768.8,12011.0,23538.0,15236.0,13762.0,10626.0,5242.3
MT-ND5,2568.7,1959.5,3959.6,7291.7,1857.9,1981.7,3177.8,4868.3,2826.8,2015.7,1796.8,1591.7
MT-ND6,4088.4,2417.9,6181.5,9372.8,2532.5,3007.7,5755.7,6929.2,3734.7,4313.8,2458.3,2601.8
MT1A,0.0,36.27,22.91,2.15,0.0,0.0,0.87,0.63,20.15,3.55,1.77,0.0
MT1B,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MT1E,240.5,17.54,50.02,17.44,1131.5,400.09,3.8,1.14,209.04,32.73,2.09,7.49
MT1F,11.05,0.42,20.18,3.3,1.13,4.25,1.39,2.67,8.17,6.16,6.74,0.54
MT1G,128.83,7.75,811.64,10.36,0.26,0.0,3.05,8.93,49.32,72.26,7.75,0.26
MT1H,0.0,0.0,76.47,0.46,0.0,0.0,0.72,0.73,0.0,1.36,0.32,0.09
MT1HL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1M,0.0,0.17,2.75,0.0,41.89,0.0,0.04,0.07,2.35,0.08,0.04,0.05
MT1X,212.62,72.73,129.75,12.49,301.06,189.28,26.47,21.98,39.08,71.6,30.54,13.12
MT2A,228.35,140.2,159.27,33.74,1552.9,2363.8,26.15,21.38,118.96,88.1,17.39,16.28
MT3,0.23,0.74,4.09,0.28,0.0,0.0,0.27,0.0,1.73,0.82,0.09,0.0
MT4,0.0,0.21,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
MTA1,219.02,74.07,45.63,68.8,71.81,36.92,51.07,88.5,117.13,23.41,42.41,99.75
MTA2,66.41,125.87,78.92,40.28,58.07,100.26,78.07,90.49,83.96,51.29,63.51,41.17
MTA3,33.58,15.3,15.14,18.97,11.77,18.57,16.2,26.56,41.08,24.59,34.95,16.51
MTAP,98.04,30.91,27.63,19.6,66.91,21.36,26.5,16.03,80.41,10.54,19.82,27.68
MTBP,10.33,7.82,7.5,6.42,19.61,4.19,10.99,7.24,21.55,4.96,7.39,14.71
MTCH1,70.36,98.57,114.83,58.85,48.08,133.73,103.45,105.06,61.23,57.25,122.94,124.77
MTCH2,82.65,157.08,131.01,88.48,66.33,199.07,106.09,138.55,106.8,113.46,97.96,72.23
MTCP1,18.36,14.52,7.56,4.62,13.95,9.07,15.6,19.21,66.95,7.77,4.1,12.39
MTDH,70.47,43.6,86.2,31.45,111.52,34.12,53.02,53.47,80.17,44.39,40.92,50.27
MTERF,0.35,14.72,0.2,5.74,0.02,8.01,3.01,16.49,7.51,11.48,10.4,0.03
MTERFD1,38.46,17.44,23.55,9.52,48.83,9.84,13.51,22.42,26.73,13.76,12.32,28.25
MTERFD2,19.78,27.96,22.93,23.26,33.37,25.88,36.67,8.73,46.56,22.36,32.25,25.46
MTERFD3,8.69,9.8,13.61,2.67,13.47,5.22,6.45,13.51,10.89,7.26,17.35,8.34
MTF1,8.64,3.16,3.89,2.25,3.49,3.81,4.86,6.56,7.3,3.24,2.07,4.53
MTF2,20.76,18.7,14.1,5.75,23.79,6.06,11.79,13.82,12.05,16.76,12.84,20.48
MTFMT,16.37,16.61,12.34,6.66,17.0,13.21,12.74,19.06,18.75,23.34,12.57,13.1
MTFP1,24.75,60.26,26.78,12.54,45.9,42.38,33.91,25.54,42.25,8.17,23.52,65.98
MTFR1,34.23,21.33,42.08,10.15,47.28,22.97,14.45,15.6,32.42,35.0,27.32,44.86
MTFR1L,26.59,24.18,17.62,12.58,30.02,35.46,13.56,9.14,28.26,13.95,23.45,20.36
MTFR2,12.86,14.36,15.5,8.54,17.89,11.89,13.32,25.07,23.73,13.05,13.09,13.38
MTG1,20.51,20.94,20.96,15.2,31.52,41.37,29.93,28.99,41.19,11.58,13.63,25.23
MTG2,32.15,51.63,55.52,37.66,34.44,59.89,71.15,37.94,51.97,14.41,55.27,40.27
MTHFD1,162.48,155.3,88.32,73.75,49.79,81.79,96.32,99.24,115.58,37.35,51.55,48.44
MTHFD1L,108.56,46.53,38.25,49.63,27.34,56.74,26.57,53.11,61.81,32.04,19.86,38.79
MTHFD2,566.04,87.93,62.47,59.75,92.52,47.4,70.29,61.87,181.29,81.42,86.06,501.14
MTHFD2L,19.16,10.41,13.98,9.86,20.48,3.09,6.98,5.4,14.71,6.9,7.46,13.97
MTHFR,3.92,4.78,5.08,3.59,0.95,4.1,5.78,5.37,9.57,5.95,7.99,7.93
MTHFS,35.15,73.77,22.51,29.14,61.32,43.66,33.3,32.25,46.84,55.54,30.08,48.95
MTHFSD,13.57,7.88,11.02,7.26,11.56,8.37,12.91,10.4,24.31,5.83,7.32,12.04
MTIF2,55.39,34.23,49.45,28.23,40.93,14.26,35.5,31.52,43.62,34.34,36.05,56.68
MTIF3,34.32,17.05,92.78,48.56,51.49,21.98,36.73,36.62,27.12,77.01,128.75,50.49
MTL5,7.18,8.0,8.05,4.14,0.3,0.02,6.51,7.63,36.21,12.56,15.12,4.01
MTM1,2.51,9.75,3.55,3.8,1.46,2.68,5.83,7.85,12.8,4.98,3.93,1.92
MTMR1,11.52,25.05,7.34,5.53,10.02,8.82,16.43,18.93,26.9,8.88,9.1,6.88
MTMR10,7.24,8.13,4.86,3.13,4.54,5.87,10.25,6.4,11.45,6.84,6.35,7.21
MTMR11,7.98,2.17,18.63,23.29,2.08,7.24,4.28,30.76,9.99,9.0,22.34,28.72
MTMR12,19.98,12.16,10.62,8.14,10.75,10.45,16.17,8.87,18.98,7.95,17.98,7.63
MTMR14,14.15,20.37,22.33,13.6,14.94,27.48,31.06,11.28,12.79,19.15,19.0,17.34
MTMR2,15.03,27.82,17.86,10.51,22.92,16.88,13.26,22.01,34.25,11.38,24.07,22.82
MTMR3,14.61,9.14,3.05,4.49,7.03,9.96,19.34,8.12,13.25,4.57,8.69,9.02
MTMR4,16.21,12.83,7.25,8.11,15.1,16.33,12.63,15.82,18.03,8.95,12.98,16.74
MTMR6,10.42,4.5,12.43,3.9,14.23,14.22,5.41,4.19,7.05,6.71,16.48,10.26
MTMR7,0.85,0.46,0.16,0.31,0.87,0.46,0.28,0.33,0.62,0.18,0.61,0.48
MTMR8,7.07,1.42,0.25,1.92,0.0,0.45,0.38,2.26,0.0,1.05,1.24,0.0
MTMR9,5.69,2.86,1.79,0.58,3.93,4.59,1.5,1.99,4.44,1.48,1.44,1.98
MTNR1A,0.72,0.06,0.0,0.0,0.0,0.04,0.17,0.01,0.0,0.05,0.0,0.2
MTNR1B,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
