,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
ATG16L1,16.21,11.14,16.52,20.31,26.31,8.78,16.84,9.06,27.17,18.85,11.78,20.52,14.3,28.91,15.29,26.26,14.87,13.89,20.55,43.18,28.65,26.64,21.56,21.59,15.02
ATG16L2,12.92,13.69,95.94,11.45,3.63,61.71,16.18,33.77,10.26,54.21,42.84,24.19,17.4,32.86,2.53,10.65,9.2,19.92,6.89,2.75,6.3,9.55,10.7,11.17,24.9
ATG2A,12.38,14.0,21.14,7.97,8.02,5.63,14.42,8.53,6.54,8.18,7.53,7.72,5.29,7.92,8.62,7.35,7.06,6.69,12.25,15.33,9.11,9.14,7.65,12.18,7.34
ATG2B,7.76,5.07,12.28,8.71,4.46,6.0,12.73,9.71,9.73,8.15,7.27,5.81,10.46,14.22,4.94,7.21,6.09,8.05,3.1,5.67,4.83,12.88,5.07,4.06,11.74
ATG3,77.57,22.35,31.46,79.01,61.17,26.48,110.95,76.56,65.51,24.28,97.49,51.77,62.24,43.15,44.24,71.74,41.71,40.25,63.81,70.78,55.57,48.65,46.04,44.9,57.83
ATG4A,9.35,24.17,4.48,14.1,13.43,11.53,9.05,7.79,8.29,4.61,11.59,5.86,13.68,3.78,8.66,4.49,2.03,7.28,4.88,5.27,10.19,1.86,5.68,3.14,8.74
ATG4B,77.63,51.9,84.01,55.9,60.3,75.66,91.38,41.2,72.59,86.05,82.01,95.84,77.2,59.61,78.5,83.9,38.42,66.65,72.93,84.33,25.58,107.71,58.84,74.33,58.97
ATG4C,7.0,2.46,3.41,10.11,7.57,7.43,3.81,11.8,8.84,16.83,7.97,4.08,14.1,8.2,3.97,8.24,2.41,5.36,2.93,4.4,5.45,5.18,1.96,4.89,5.98
ATG4D,15.03,48.94,28.25,24.65,25.6,12.61,16.14,14.62,19.72,22.48,16.57,52.43,20.49,16.99,11.96,12.99,12.43,18.76,24.04,25.21,16.98,8.06,20.42,13.83,25.92
ATG5,13.37,10.87,8.04,27.09,23.72,8.84,14.98,13.99,25.68,12.25,16.72,19.84,15.6,12.14,17.54,18.05,7.27,18.2,7.53,13.45,18.13,15.09,20.93,16.97,26.18
ATG7,25.18,22.42,12.95,28.74,41.72,12.81,14.52,6.98,28.97,10.39,21.9,16.19,8.39,10.41,13.65,13.54,9.01,11.5,29.88,20.49,10.99,16.75,14.97,17.02,10.45
ATG9A,34.49,58.97,37.4,56.86,57.85,18.38,17.24,11.74,59.91,49.26,18.05,20.73,12.32,40.47,13.83,31.17,13.31,15.63,46.16,38.69,24.04,36.21,24.39,34.46,13.93
ATG9B,0.05,10.4,2.47,0.99,0.91,0.62,1.71,0.08,0.28,1.0,2.27,0.36,0.8,1.56,1.55,6.35,10.7,1.52,0.44,6.96,3.77,3.56,5.73,2.27,0.95
ATHL1,17.65,12.53,58.42,8.25,2.29,38.33,0.69,0.38,8.89,3.05,10.91,7.88,22.99,14.97,0.84,64.97,14.81,23.47,4.81,5.12,7.47,17.85,5.63,23.85,9.89
ATIC,124.49,92.88,71.71,84.86,86.99,167.79,201.02,190.77,116.02,100.57,175.99,191.4,146.76,212.05,190.58,215.3,147.36,46.88,172.48,172.84,123.41,187.38,86.55,176.67,76.86
ATL1,0.84,4.31,5.54,10.31,2.35,0.32,0.94,0.42,0.34,0.49,0.53,0.79,0.89,5.88,11.08,1.77,1.3,0.52,1.07,2.54,1.04,2.77,1.25,2.2,0.27
ATL2,27.4,31.38,90.09,33.09,45.01,17.33,61.19,38.7,37.52,42.73,71.4,40.27,82.91,98.27,39.6,45.98,31.39,51.61,19.15,92.84,52.39,95.12,49.09,75.34,42.73
ATL3,24.77,8.23,18.75,26.13,18.29,8.68,16.33,4.71,49.66,8.33,0.03,17.24,0.57,29.62,3.74,9.51,9.34,10.35,32.62,8.61,21.79,40.9,10.28,9.77,10.89
ATM,29.58,13.36,19.82,17.68,19.69,33.97,86.62,32.76,15.37,45.43,63.4,24.51,44.94,18.4,28.17,12.69,13.77,24.87,13.98,19.16,10.25,68.6,11.16,12.13,24.32
ATMIN,22.28,15.55,12.03,15.16,18.99,10.43,20.34,10.86,22.26,12.14,10.02,15.14,21.47,27.76,41.24,17.05,7.16,6.66,8.98,25.79,19.89,29.77,13.51,7.14,11.37
ATN1,82.34,26.79,55.6,69.22,71.79,48.8,82.11,1.06,63.28,52.56,7.18,8.36,3.02,43.11,54.82,28.14,25.29,53.41,56.6,50.31,81.99,48.4,26.08,32.9,22.63
ATOH1,0.02,0.75,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.33,0.0,3.81,0.0,0.0,0.0,0.0,1.14,0.0,0.14,1.53,0.41
ATOH7,0.11,0.21,0.15,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.14,0.13,1.43,0.11,0.03,0.0,0.38,0.0,0.1,0.16,0.46,0.08,0.1,0.2
ATOH8,0.29,3.12,2.44,7.54,10.57,0.45,0.08,0.01,6.43,0.29,0.0,0.05,0.74,0.31,0.57,1.06,0.13,0.02,4.07,2.97,0.1,2.55,0.22,0.39,0.05
ATOX1,149.98,94.9,90.15,155.11,222.71,270.1,84.62,147.07,137.6,39.86,172.6,155.78,85.16,52.3,87.68,114.32,58.67,83.13,494.63,274.55,88.67,149.78,123.08,83.12,45.2
ATP10A,0.09,0.01,0.0,5.9,0.09,0.01,0.04,0.0,0.01,0.01,0.0,0.01,0.03,0.03,0.96,0.01,0.03,0.0,0.14,3.89,0.01,0.03,0.0,0.0,0.01
ATP10B,0.0,0.05,0.13,5.85,0.06,0.56,0.0,0.1,0.01,0.01,0.0,0.07,0.01,0.44,0.09,12.64,43.04,0.0,0.01,1.07,24.5,8.54,7.76,17.29,0.49
