,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
SGPP1,13.72,7.5,20.79,14.24,6.32,11.09,27.06,8.33,20.05,4.84,22.97,0.08,6.28,29.12,6.09,4.37,6.8,5.18,6.13,7.99,9.47,16.47,3.29,4.03,8.34
SGPP2,0.43,2.69,0.26,0.33,0.74,41.11,1.19,0.41,0.14,0.74,0.48,1.74,0.33,19.96,3.63,13.28,12.43,1.08,0.13,1.09,17.64,16.56,18.73,13.58,15.51
SGSH,29.98,40.14,7.81,36.61,17.86,9.24,10.78,2.79,39.99,0.2,2.21,0.11,10.13,18.53,1.96,6.38,6.99,21.76,29.26,2.18,19.36,8.36,6.51,17.3,0.25
SGSM1,0.0,24.68,0.01,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.18,0.03,0.0,1.05,0.44,0.21,0.02,0.04,0.0,0.02,0.01,1.8,0.05,0.22,0.43
SGSM2,50.93,28.1,53.85,25.22,20.56,34.75,49.42,26.23,31.78,18.64,12.35,16.61,31.37,25.73,25.69,12.51,14.87,30.34,26.43,9.77,14.72,15.69,13.41,21.93,37.93
SGSM3,35.98,48.88,94.73,42.07,24.5,56.69,99.95,71.79,44.28,38.64,45.65,26.14,42.72,33.97,26.55,13.3,11.77,29.01,18.67,14.98,20.23,22.32,12.25,30.07,48.36
SGTA,71.04,46.19,23.66,60.84,93.31,36.19,81.68,46.84,50.28,56.22,95.74,48.12,63.62,50.78,74.24,60.15,22.6,40.43,79.21,55.4,43.75,27.95,37.96,51.93,40.37
SGTB,10.66,3.25,2.36,10.36,6.76,4.34,5.55,5.16,11.74,1.93,6.81,3.79,4.08,11.42,5.33,2.73,1.92,4.95,3.27,1.05,1.12,8.49,0.99,0.92,5.2
SH2B1,39.96,78.93,46.12,23.98,36.35,42.71,38.87,33.51,23.08,43.14,29.81,21.66,25.36,21.41,28.43,17.79,22.17,27.99,23.61,24.0,17.96,33.46,19.84,18.4,37.96
SH2B2,0.8,2.55,5.49,2.06,2.76,16.83,81.38,51.78,1.45,0.13,52.34,5.8,22.18,4.68,0.96,1.73,1.77,1.85,5.46,4.14,0.58,5.14,1.22,2.5,0.66
SH2B3,25.43,5.18,17.47,12.04,28.11,23.52,13.93,10.21,18.01,47.88,16.89,33.04,6.21,9.59,7.8,1.54,2.62,37.03,72.26,3.52,2.11,4.62,2.13,1.43,12.54
SH2D1A,0.01,0.04,0.02,0.02,0.01,0.06,0.0,0.05,0.0,0.09,0.0,0.0,0.02,0.14,0.0,0.0,0.12,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.0
SH2D1B,0.02,0.02,0.06,0.22,1.28,0.0,0.01,0.0,0.07,7.97,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.28,0.01,0.02,0.0,0.1,0.06,0.05
SH2D2A,0.04,1.75,0.66,0.09,0.44,13.05,0.08,1.09,0.52,19.3,0.27,0.88,0.82,19.44,3.42,13.05,2.0,0.84,0.09,7.12,5.25,6.66,8.55,7.51,4.64
SH2D3A,1.09,29.4,43.27,0.65,0.31,14.64,18.93,5.81,3.17,1.19,5.59,0.23,0.5,29.69,22.16,30.54,24.89,1.38,0.35,40.66,29.72,31.1,38.44,35.65,45.01
SH2D3C,0.05,0.3,1.0,0.47,0.15,27.44,6.45,6.48,0.14,20.05,5.85,9.06,33.68,0.13,0.01,0.06,0.03,0.08,0.1,0.07,0.13,0.1,0.02,0.02,0.03
SH2D4A,16.39,2.56,10.42,17.2,7.31,0.31,0.05,0.02,30.03,0.05,0.04,3.2,0.27,26.63,8.24,10.74,10.66,9.89,0.19,12.02,14.12,22.15,20.96,20.45,29.46
SH2D4B,0.04,0.04,0.05,0.02,0.0,0.0,0.01,0.01,0.02,0.05,0.05,0.06,0.89,0.39,0.03,0.1,0.0,0.0,0.0,0.01,0.02,0.1,0.04,0.03,0.01
SH2D5,8.31,0.37,13.15,3.16,1.79,0.44,2.55,0.45,3.21,0.17,0.75,0.02,0.25,0.08,0.16,0.58,1.47,0.33,18.1,6.69,2.13,2.21,1.0,0.67,0.09
SH2D6,0.31,1.78,0.33,0.28,0.16,0.23,0.03,0.33,0.4,0.11,0.15,0.26,0.18,0.95,0.99,0.0,0.08,0.07,0.03,0.28,0.11,0.5,0.03,0.25,1.35
SH2D7,0.01,1.55,0.06,0.02,0.02,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.26,0.02,0.0,0.01,0.02,0.01,0.06,0.0,0.0,0.01,0.02,0.0
SH3BGR,0.92,3.32,0.82,52.72,21.75,1.66,1.56,4.47,1.68,2.93,2.18,1.34,1.73,8.11,3.44,5.24,0.42,2.0,4.24,0.86,1.65,3.96,1.36,1.41,3.85
SH3BGRL,46.05,1.13,8.51,145.44,43.86,104.62,60.0,65.11,52.45,220.68,85.36,64.49,101.35,22.18,41.41,14.18,2.86,17.22,28.74,2.0,33.4,12.87,1.26,12.83,0.08
SH3BGRL2,1.63,7.42,2.4,1.11,0.48,0.29,0.02,0.01,1.59,11.48,0.02,0.03,0.02,9.11,20.2,21.31,14.31,2.29,0.54,11.7,30.4,7.53,50.21,41.61,25.09
SH3BGRL3,295.03,45.88,76.22,294.38,192.46,131.78,63.8,30.82,307.63,301.92,47.78,77.47,36.49,49.91,86.96,113.12,50.34,45.43,445.06,130.16,108.15,55.49,87.85,49.61,39.13
SH3BP1,16.62,9.62,93.28,16.37,2.44,47.74,31.68,26.74,24.24,65.62,53.27,42.05,5.51,19.41,19.98,9.26,9.41,11.45,14.58,11.86,16.82,9.51,16.29,19.85,6.51
SH3BP2,20.75,18.1,38.7,29.75,27.28,80.69,3.11,2.37,32.58,44.17,13.22,24.5,0.12,33.38,22.24,18.47,20.99,23.62,24.0,7.93,13.94,30.96,8.21,13.51,15.83
SH3BP4,28.33,36.26,14.4,61.0,35.44,0.13,0.13,0.06,98.56,2.62,0.03,0.13,0.05,6.05,38.04,13.53,14.4,1.94,143.57,43.19,32.11,27.66,19.44,53.64,20.15
SH3BP5,12.73,36.12,2.55,37.73,14.81,2.36,0.68,6.79,54.1,0.53,23.22,9.04,2.92,21.93,5.93,9.62,3.29,5.16,9.36,11.78,6.35,0.18,13.16,8.73,3.15
SH3BP5L,18.51,17.45,14.02,28.45,18.83,13.79,23.55,15.63,22.7,25.37,11.37,15.29,32.87,12.49,13.38,8.55,4.6,84.41,78.82,15.67,9.27,19.67,11.8,10.02,11.36
SH3D19,9.67,11.39,11.02,18.9,3.91,2.92,1.19,1.02,17.15,1.6,0.37,0.82,0.87,32.47,20.88,18.93,21.81,6.21,13.16,36.54,38.14,36.98,34.44,42.62,25.47
SH3D21,16.42,1.21,33.25,3.28,1.1,2.26,7.22,1.39,0.7,4.31,5.97,0.54,5.76,5.17,3.88,6.77,10.92,12.24,2.6,3.4,1.32,15.37,2.55,6.35,4.49
SH3GL1,78.3,27.34,35.55,92.35,84.64,30.14,19.96,17.92,102.74,31.3,18.49,20.92,11.37,48.47,30.35,30.92,13.34,25.46,73.9,27.89,21.89,30.59,24.11,37.51,28.16
SH3GL2,0.0,0.79,0.02,0.14,0.02,0.01,0.0,0.0,3.55,0.01,0.01,0.04,0.0,0.02,0.0,0.54,0.03,0.0,0.02,0.65,0.0,1.44,0.81,0.04,0.01
SH3GL3,0.28,0.02,1.57,4.82,0.0,0.0,0.03,0.02,0.22,0.08,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.33,0.0,0.0,0.0,0.03,0.0,0.05
SH3GLB1,57.82,36.52,40.64,98.25,38.45,49.91,56.65,33.14,82.38,28.54,39.08,18.38,27.3,33.01,22.03,20.56,16.97,32.63,25.05,37.19,31.45,29.62,20.73,18.0,24.83
SH3GLB2,70.18,41.2,118.03,73.6,34.93,54.99,41.4,39.02,49.99,33.99,55.08,24.36,31.16,91.7,38.28,36.47,97.23,121.61,35.95,52.19,51.64,102.41,70.88,69.56,66.82
SH3KBP1,42.91,2.55,67.55,124.07,70.3,129.05,23.4,2.75,92.65,11.98,93.24,86.94,17.76,43.83,27.53,12.36,30.76,4.54,48.05,78.26,39.77,146.01,105.19,21.78,22.7
SH3PXD2A,0.69,15.83,48.12,22.36,1.54,7.42,0.53,5.53,4.73,15.08,0.37,5.52,0.99,5.62,3.56,3.82,3.35,2.21,15.21,3.16,4.05,3.12,5.82,4.58,4.44
SH3PXD2B,8.69,0.54,7.0,29.46,8.31,0.15,0.03,0.01,11.03,0.09,0.02,3.25,0.05,6.8,2.42,3.65,6.07,1.63,42.03,2.01,5.97,19.85,3.8,4.07,3.85
SH3RF1,12.51,6.82,5.28,7.14,7.61,3.51,0.52,0.02,11.54,2.93,0.04,1.07,0.05,6.01,5.42,3.98,5.12,2.41,7.86,9.69,6.78,8.26,5.14,3.71,10.43
SH3RF2,3.2,0.05,28.9,11.92,9.87,0.04,0.01,0.0,8.74,0.1,0.01,0.06,0.03,27.17,0.12,17.51,30.93,0.1,27.28,16.38,42.08,17.46,12.21,13.15,17.85
SH3RF3,11.57,0.12,2.29,3.03,7.22,0.39,0.04,0.02,26.79,3.07,0.0,9.68,0.0,10.05,1.34,0.04,0.16,0.36,14.02,0.72,0.01,0.23,0.45,4.74,1.06
SH3TC1,2.32,11.84,43.62,2.15,1.51,28.0,0.05,13.31,8.76,3.63,7.78,2.41,3.93,2.87,8.83,2.25,8.2,2.03,2.91,0.9,2.03,22.58,2.15,4.48,0.28
SH3TC2,3.89,0.02,15.3,4.61,2.42,0.01,0.01,0.01,2.18,0.21,0.01,0.05,0.05,0.47,6.04,8.07,13.09,0.02,2.99,40.21,7.76,12.11,6.32,6.57,0.71
SH3YL1,8.01,14.74,28.9,14.06,13.72,9.71,2.37,4.24,2.52,33.52,0.97,8.29,28.61,73.5,3.55,89.85,68.27,18.18,7.76,38.33,52.11,43.24,85.8,235.44,68.84
SHANK1,1.82,1.19,0.11,0.07,0.18,0.01,0.0,0.22,0.62,2.32,0.04,9.01,3.12,0.2,2.8,0.01,0.13,169.04,13.6,0.93,0.0,0.21,0.04,0.0,0.21
SHANK2,6.93,0.04,23.26,0.05,0.04,1.59,0.07,0.0,0.0,0.06,0.02,0.04,0.01,6.75,10.07,1.24,5.83,1.38,0.18,15.03,9.19,10.65,4.67,3.74,1.61
SHANK3,0.75,3.77,0.43,3.12,1.44,0.02,0.0,0.01,0.9,19.63,0.0,0.11,0.69,4.13,0.06,0.28,0.69,3.83,1.06,0.72,0.14,1.95,0.07,0.52,0.04
SHARPIN,45.3,44.92,76.53,52.31,28.12,34.25,41.43,28.58,38.31,34.97,30.07,19.08,41.51,39.21,26.78,44.79,34.99,46.25,53.57,51.23,38.13,56.97,31.45,32.49,42.45
SHB,17.93,5.29,22.68,17.98,18.05,2.23,0.82,0.08,21.99,2.43,0.26,0.49,0.17,19.26,14.34,12.18,10.21,4.88,29.21,25.38,12.55,21.98,9.86,7.1,7.33
SHBG,0.31,0.04,0.06,0.33,0.36,0.11,0.16,0.07,0.63,0.0,0.0,0.0,0.03,0.08,0.05,0.0,0.46,0.14,0.41,0.09,0.18,0.0,0.04,0.08,0.15
SHC1,208.66,56.65,57.32,161.02,142.96,20.77,37.49,38.59,185.2,48.2,46.55,23.83,43.42,60.86,59.48,33.94,17.43,246.6,191.66,55.13,51.53,64.73,47.61,69.32,32.96
SHC2,0.0,13.26,0.0,5.96,0.0,0.14,0.01,0.02,1.02,0.11,0.01,0.07,0.01,0.03,0.04,2.02,1.16,1.48,10.52,0.98,0.35,0.42,0.21,1.19,0.1
SHC3,1.33,0.04,0.44,0.06,0.22,7.53,0.0,0.02,2.67,0.02,0.0,0.64,0.0,0.42,6.01,0.61,0.03,0.27,1.12,0.44,0.53,0.75,0.08,0.22,0.22
SHC4,0.46,0.55,0.27,13.13,0.57,0.4,0.06,0.38,1.04,1.04,0.1,0.12,0.15,0.12,0.64,0.12,0.14,0.07,0.22,0.52,1.24,0.06,0.02,0.08,0.09
SHCBP1,59.36,5.55,12.77,52.16,96.07,14.38,47.64,30.33,53.8,20.97,48.41,32.39,34.57,15.8,22.44,8.57,5.03,20.9,29.4,14.55,21.72,33.84,9.77,7.25,13.34
SHCBP1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHD,0.0,0.51,0.0,0.06,0.01,0.01,0.01,0.02,0.0,0.23,0.0,0.0,0.0,0.14,0.18,2.73,0.0,0.01,0.15,0.0,3.2,0.59,5.13,9.46,2.54
SHE,0.0,0.0,0.0,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.67,0.0,0.0,0.0
SHF,0.3,14.82,0.73,2.08,0.38,3.37,0.21,0.29,0.78,0.86,0.36,0.24,1.77,34.5,14.95,11.48,4.0,1.77,0.22,29.27,0.37,4.99,19.9,10.64,0.5
SHFM1,485.9,513.03,336.09,694.61,860.24,275.57,471.5,519.1,640.09,395.64,685.53,838.68,573.33,346.82,733.72,431.38,154.44,782.57,449.46,670.43,580.87,463.39,804.91,510.74,332.05
SHH,0.0,0.01,0.05,0.01,0.01,0.1,0.0,0.0,0.0,0.19,0.0,0.05,0.03,3.72,0.61,3.94,4.98,0.0,0.01,41.0,7.51,0.08,9.95,4.9,1.6
SHISA2,4.77,11.57,1.39,2.11,0.04,0.02,0.01,0.03,1.69,0.03,0.0,0.27,0.01,0.0,0.15,0.0,0.05,0.0,2.26,0.08,0.01,0.08,0.0,0.01,0.06
SHISA3,12.41,0.05,0.0,0.14,0.49,0.02,0.01,0.0,0.04,0.09,0.0,0.05,1.02,0.15,0.0,0.02,0.05,0.0,0.0,0.03,0.04,0.05,0.16,0.17,0.01
SHISA4,14.66,10.78,3.03,47.19,29.07,0.68,0.14,0.12,36.24,0.69,0.15,0.21,0.14,1.05,4.55,0.61,0.84,5.88,32.07,8.43,1.48,8.16,2.18,9.16,0.96
SHISA5,103.15,58.66,231.91,253.01,114.23,60.44,91.24,60.82,184.48,134.68,93.66,54.66,36.89,58.71,20.35,92.79,48.06,47.23,189.19,114.64,96.99,58.24,91.54,91.73,53.18
SHISA6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0
SHISA7,0.01,0.89,0.05,0.02,0.03,0.01,0.17,0.02,0.03,0.87,0.01,0.0,0.08,0.0,0.02,0.01,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.01,0.02
SHISA8,0.0,0.19,0.0,0.0,0.0,0.97,0.24,0.0,0.0,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHISA9,0.07,1.12,0.04,0.96,0.01,0.16,0.02,4.63,0.02,0.02,0.01,0.01,0.03,0.45,7.78,0.02,0.08,0.02,0.01,0.03,0.05,0.08,0.21,0.01,0.03
SHKBP1,48.61,52.84,52.27,76.53,66.19,112.22,83.47,65.84,74.79,69.89,65.02,37.89,104.58,19.35,54.72,32.19,18.95,43.62,92.45,46.65,37.43,50.59,38.02,72.11,25.01
SHMT1,67.14,10.32,12.49,50.2,31.95,11.72,40.34,46.17,36.91,21.46,26.28,31.92,22.45,38.17,37.97,24.17,12.12,18.07,35.6,20.69,38.72,36.81,22.18,37.72,23.66
SHMT2,228.39,117.56,113.77,155.5,246.13,231.02,145.1,314.67,326.97,240.74,428.14,394.75,640.05,428.24,400.65,157.37,120.25,148.71,277.72,129.99,154.79,137.3,187.22,180.92,232.78
SHOC2,14.43,4.41,7.54,15.51,10.61,27.81,13.07,24.91,22.29,10.97,24.02,25.9,55.44,13.55,10.41,8.47,9.22,11.25,8.83,13.92,7.75,18.15,12.02,11.96,17.12
SHOX,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SHOX2,0.29,1.51,1.14,18.68,7.35,0.14,11.57,0.86,17.07,4.65,2.87,0.4,2.72,0.15,0.71,0.73,0.05,0.19,7.89,0.54,0.06,0.3,0.08,0.19,0.21
SHPK,8.965,3.77,5.154999999999999,3.37,5.659999999999999,3.9850000000000003,6.255,3.595,6.255,3.255,2.3400000000000003,2.88,4.035,6.695,9.105,3.335,2.26,3.805,12.775,4.77,3.94,3.95,4.4399999999999995,5.395,3.995
SHPRH,4.93,3.25,4.37,5.57,4.37,4.64,9.18,6.03,4.55,11.3,8.53,7.62,12.32,5.05,6.39,2.77,3.77,3.65,1.3,4.23,6.1,9.85,2.28,4.29,4.3
SHQ1,11.14,3.0,10.99,13.5,15.26,5.86,18.62,18.12,7.34,6.3,15.04,11.06,14.94,13.4,12.84,13.28,4.08,10.59,10.59,12.24,10.98,7.59,9.8,11.28,6.13
SHROOM1,9.18,3.99,8.26,12.08,6.9,3.71,6.84,0.39,9.53,2.82,0.76,1.77,0.85,9.35,8.98,2.35,12.45,10.78,0.31,11.81,16.35,17.52,20.94,5.68,3.76
SHROOM2,0.82,1.14,2.8,14.96,0.31,0.03,0.45,0.0,38.29,0.04,0.0,0.26,0.01,0.28,0.43,0.34,0.17,0.13,3.41,7.39,2.58,0.59,3.18,0.15,0.0
SHROOM3,2.85,15.45,4.1,5.18,1.14,19.56,0.05,1.67,4.51,0.08,0.07,0.09,2.19,18.92,4.63,11.73,12.04,0.05,0.37,13.82,24.64,79.56,9.04,9.1,6.34
SHROOM4,1.24,0.0,0.08,9.32,0.44,0.0,0.01,0.0,0.05,0.06,0.0,0.0,0.01,0.02,0.01,0.5,3.61,0.0,0.14,3.66,0.79,2.43,0.16,2.08,0.0
SI,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,5.46,0.62,0.0,0.0,0.0,0.03,0.01,0.01,0.1,0.04
SIAE,9.52,1.97,29.57,16.99,25.28,4.22,1.14,0.26,13.73,15.93,5.96,0.21,0.66,13.97,0.53,29.21,9.39,6.13,11.75,3.63,34.62,25.39,9.18,17.07,37.76
SIAH1,14.9,8.76,11.49,19.05,15.88,6.84,8.47,9.65,14.56,10.45,6.68,10.99,22.53,25.04,18.04,12.37,7.42,11.85,6.99,16.72,14.59,17.75,17.93,11.86,22.07
SIAH2,18.44,14.32,12.64,21.24,9.94,16.18,84.59,37.82,21.3,27.56,42.91,10.74,10.41,16.64,8.64,13.4,8.08,6.68,8.91,10.17,14.17,14.6,11.95,16.52,10.69
SIAH3,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
SIDT1,0.06,0.06,5.35,0.08,0.0,38.65,0.32,2.97,0.07,3.75,0.1,0.23,1.3,1.11,0.0,6.68,2.22,0.03,0.0,0.09,4.57,0.25,0.12,6.45,3.64
SIDT2,15.95,56.9,21.22,37.6,17.87,29.17,27.84,12.86,17.2,6.56,24.81,4.88,7.28,10.05,9.19,12.77,4.4,8.7,10.09,9.01,6.63,16.71,7.22,12.4,9.76
SIGIRR,45.35,86.58,109.33,6.41,0.66,9.34,15.37,12.93,7.88,32.74,9.72,22.27,10.46,23.31,28.78,41.6,42.92,60.86,11.64,45.84,65.09,40.27,34.63,36.37,28.88
SIGLEC1,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.81,0.03,0.19,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.02
SIGLEC10,0.13,0.08,0.05,0.09,0.02,0.93,153.17,3.34,0.0,72.24,22.05,3.39,2.87,0.76,0.26,0.29,0.05,0.06,0.3,0.16,0.01,0.65,0.02,0.0,0.79
SIGLEC11,0.0,0.01,0.0,0.07,0.0,0.04,0.0,0.01,0.0,0.2,0.0,0.0,0.01,0.0,0.01,0.08,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01
SIGLEC12,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,91.35,0.0,4.82,0.02,0.0,0.01,0.63,0.51,0.0,0.01,0.01,0.03,0.0,0.0,0.08,0.0
SIGLEC14,0.0,0.0,0.0,0.0,0.0,2.65,0.04,0.0,0.0,9.62,0.29,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.07,0.0,0.0,0.0,0.0,0.0
SIGLEC15,1.18,0.09,0.3,2.75,0.47,0.32,0.05,0.04,0.7,0.49,0.01,0.06,0.01,0.0,0.16,0.16,0.0,0.06,171.86,0.11,0.06,0.04,0.56,0.55,0.15
SIGLEC5,0.0,0.0,0.005,0.005,0.0,0.29,0.005,0.02,0.0,2.61,0.1,3.42,0.005,0.0,0.0,0.0,0.0,0.0,0.025,0.115,0.0,0.0,0.0,0.005,0.0
SIGLEC6,0.0,0.04,0.06,0.02,0.0,0.58,0.01,0.02,0.0,14.57,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02,0.0,9.45,0.0,0.0,0.0,0.0,0.0
SIGLEC7,0.02,0.0,0.06,0.0,0.09,0.07,0.0,0.0,0.02,9.03,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
SIGLEC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIGLEC9,0.0,0.03,0.06,0.2,0.14,0.08,0.0,0.0,0.06,6.28,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.01,1.85,0.04,0.08,0.11,0.0,0.0,0.0
SIGLECL1,0.0,0.04,0.0,0.04,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIGMAR1,103.71,56.95,120.46,126.24,131.87,23.48,103.02,93.74,71.05,86.93,0.29,236.55,11.66,136.5,158.99,142.03,100.41,72.28,180.25,116.91,93.05,141.99,93.56,99.89,103.75
SIK1,1.73,9.8,14.12,18.06,6.36,13.93,37.65,3.25,13.87,5.22,6.25,3.58,1.51,7.87,11.98,6.75,9.02,5.95,12.94,7.81,7.47,9.76,3.56,3.02,6.81
SIK2,8.24,5.93,6.05,8.84,11.85,2.79,17.8,5.95,8.22,9.22,6.21,5.6,4.71,8.17,6.62,6.38,6.35,1.96,19.87,10.13,9.0,22.78,7.81,9.34,4.13
SIK3,11.33,11.07,13.08,13.9,5.33,9.65,38.41,16.38,8.4,21.56,16.61,16.95,13.11,11.27,10.66,6.46,7.04,5.76,7.29,8.64,9.79,21.54,5.49,9.46,9.72
SIKE1,37.1,13.73,26.0,40.49,29.74,29.04,43.32,40.18,22.48,44.95,47.13,30.17,42.48,15.48,24.49,11.48,4.7,51.67,17.18,16.32,31.85,20.38,30.29,16.48,30.68
SIL1,35.4,42.13,48.15,76.42,79.02,26.6,9.5,6.63,28.36,37.9,13.2,11.2,5.62,61.54,20.31,25.63,18.74,19.93,26.46,29.77,33.54,48.68,26.06,15.88,30.67
SIM1,0.0,0.68,0.0,0.01,0.17,0.0,0.0,3.77,0.0,0.0,0.0,0.03,0.0,0.19,0.0,0.33,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0
SIM2,12.19,0.35,4.85,9.13,2.02,0.04,0.13,0.08,8.4,0.14,0.05,0.05,0.36,13.61,0.49,6.92,7.6,5.81,0.22,10.39,8.56,12.27,9.05,5.08,3.21
SIMC1,6.91,6.17,0.13,8.03,13.81,4.69,18.23,15.49,6.66,0.74,10.63,11.28,16.07,20.35,10.82,13.65,7.07,8.36,7.69,11.6,11.01,17.23,8.6,9.04,4.46
SIN3A,43.06,20.97,23.7,21.55,18.15,18.74,38.14,31.61,25.81,45.43,30.7,44.28,42.94,23.74,22.29,10.19,10.99,11.69,19.78,23.03,19.84,39.31,15.28,22.28,12.68
SIN3B,30.37,15.36,67.46,28.3,26.26,25.72,31.68,13.72,23.23,32.34,17.62,16.7,20.16,17.91,21.16,8.4,12.87,26.05,23.2,20.57,19.23,26.81,11.48,18.97,26.21
SIPA1,21.05,18.31,36.75,17.72,5.48,76.12,66.38,40.65,18.39,94.53,44.39,23.1,10.49,6.44,11.95,2.18,2.58,10.73,12.25,3.29,3.78,23.33,3.81,11.5,3.64
SIPA1L1,28.36,7.9,40.49,52.1,17.32,47.3,11.32,32.36,34.01,11.82,5.7,3.62,10.59,50.35,10.01,12.01,23.9,15.25,19.25,15.01,28.59,36.53,23.78,15.67,24.33
SIPA1L2,0.44,2.07,2.08,29.11,11.17,0.3,0.14,0.03,17.72,0.01,0.02,0.63,4.84,16.08,0.03,2.41,0.86,0.14,1.92,1.08,1.66,4.45,2.84,1.58,9.0
SIPA1L3,24.41,24.31,13.23,9.58,7.73,18.05,35.11,12.47,9.92,5.31,11.84,5.0,11.5,10.06,14.48,8.49,15.15,3.47,21.64,13.36,10.03,23.85,9.22,16.94,3.44
SIRPA,32.53,0.26,14.3,32.8,29.59,2.47,0.05,0.05,14.28,0.15,0.04,19.93,0.03,0.38,8.79,4.63,0.45,3.56,28.11,6.19,0.93,3.71,0.64,0.03,0.08
SIRPB1,14.8,0.03,10.51,4.83,0.01,0.85,0.01,0.0,3.11,0.43,0.78,48.61,0.26,0.08,1.21,3.47,0.4,0.01,0.15,0.02,0.02,0.82,0.08,0.0,0.06
SIRPB2,0.2,0.01,13.53,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.02,4.95,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0
SIRPD,0.58,0.0,0.35,0.1,0.0,0.01,0.0,0.0,0.0,0.03,0.0,3.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
SIRPG,0.22,0.0,2.61,0.0,0.03,0.69,0.0,0.0,0.06,0.11,0.02,9.13,0.36,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.01,0.0,0.0
SIRT1,10.67,7.73,6.6,9.53,7.76,4.05,45.11,11.68,16.04,9.47,13.43,11.61,28.59,26.41,11.26,8.07,6.98,7.52,6.71,9.36,7.4,16.82,7.75,5.17,15.85
SIRT2,30.21,88.53,19.77,81.01,38.2,17.89,18.34,16.2,31.11,35.02,14.85,9.38,26.78,13.69,15.38,15.64,5.57,19.37,49.26,18.11,12.85,12.32,25.9,34.2,28.89
SIRT3,23.91,23.22,51.86,16.71,14.21,24.21,9.69,12.22,21.38,15.82,9.47,12.06,8.59,20.81,24.85,14.3,11.55,15.88,22.29,16.89,18.46,4.66,17.5,18.51,15.11
SIRT4,0.37,2.2,0.31,1.06,1.16,0.66,0.81,2.02,1.45,1.1,0.29,1.27,0.76,0.15,0.35,1.15,1.23,0.61,1.32,0.69,1.39,0.86,0.29,0.84,0.57
SIRT5,4.37,5.88,11.33,6.2,5.04,6.02,4.78,6.35,10.31,9.77,11.13,6.31,12.02,14.09,4.92,6.84,8.57,2.87,3.64,5.17,9.34,15.64,5.28,13.24,8.33
SIRT6,27.25,32.49,19.42,34.17,46.65,36.3,40.81,36.12,25.14,21.41,37.37,15.11,20.75,19.51,26.43,30.7,19.18,43.72,30.67,31.32,36.72,13.57,37.06,28.94,30.88
